"ID","LASTPD","FEMALE","CENSOR"
222314,3,1,0
222315,3,0,1
222318,5,0,1
222323,2,1,0
222331,2,1,0
222333,2,1,0
222334,3,0,1
222336,1,1,0
222339,2,1,0
222348,3,0,1
222353,2,1,0
222357,2,0,0
222363,3,0,1
222364,3,1,1
222365,3,0,0
222366,2,1,0
222368,3,1,1
222374,5,0,0
222378,1,0,0
222389,1,0,1
223302,5,0,1
223303,2,0,0
223304,5,1,0
223305,5,1,0
223306,4,0,0
223310,2,1,0
223311,5,1,1
223312,4,0,0
223313,2,0,0
223314,3,1,0
223315,3,0,1
223316,3,0,0
223317,4,1,0
223318,4,1,0
223319,5,0,1
223320,3,0,0
223322,4,0,0
223323,5,1,1
223324,4,1,0
223325,5,0,1
223327,5,1,1
223328,2,1,0
223329,4,0,0
223330,4,1,0
223331,3,1,1
223333,2,1,0
223334,5,0,0
223335,3,1,0
223336,3,0,1
223337,5,0,0
223338,3,0,1
223339,3,0,0
223340,2,0,0
223341,5,1,1
223342,5,1,0
223344,5,1,1
223345,1,1,0
223346,1,0,0
223347,3,1,0
223348,3,1,0
223349,4,1,0
223350,5,1,1
223351,5,0,0
223352,5,0,1
223353,4,0,0
223354,3,1,0
223355,2,1,1
223356,3,0,0
223357,5,0,0
223358,3,1,1
223360,5,0,1
223361,5,1,0
223362,2,0,0
223363,5,0,0
223364,4,0,0
224306,2,0,1
224307,1,0,0
224313,2,0,0
224314,2,1,1
224319,2,0,0
224320,4,1,0
224321,2,0,1
224323,2,1,0
224324,3,0,1
224328,2,1,0
224335,2,0,0
224338,2,1,0
224339,3,0,1
224340,5,0,1
224348,2,1,0
224349,3,0,1
224352,2,0,0
224356,3,0,0
224357,2,1,0
224359,2,1,0
224362,3,1,1
224367,2,1,0
224368,2,1,1
226301,3,0,0
226307,4,0,0
226309,5,0,0
226310,4,0,1
226319,4,1,0
226324,2,0,0
226326,3,0,0
226333,3,0,0
226336,2,0,1
226339,3,0,0
226342,5,0,1
226344,1,0,1
226347,2,1,0
226348,3,0,1
226349,2,1,1
226350,3,0,0
226351,1,1,1
226362,5,0,1
226371,4,1,0
226377,2,1,0
226387,1,0,0
226391,3,0,1
226397,1,0,1
226404,3,1,0
226405,2,1,1
226406,2,0,1
227309,1,1,1
227316,1,1,1
227321,5,1,0
227325,2,0,0
227331,1,1,1
227335,2,0,0
227337,2,1,0
227339,2,0,0
227341,2,1,0
227343,5,1,1
227344,2,0,0
227345,5,1,1
227346,2,0,1
227350,2,1,0
227351,3,1,1
227352,3,1,0
227354,2,1,0
227355,5,0,1
227356,4,1,0
227358,1,1,0
227359,2,0,0
227361,2,0,0
227362,2,0,1
227363,2,0,1
227364,2,0,1
228304,4,1,0
228305,4,1,0
228307,2,0,0
228308,3,0,0
228310,1,1,1
228312,5,1,1
228313,2,1,0
228315,2,0,0
228319,2,1,0
228321,4,1,0
228322,5,0,0
228324,1,1,1
228326,3,0,0
228328,3,0,1
228329,3,0,0
228330,2,1,0
228331,1,0,0
228332,2,0,0
228335,3,0,0
228337,3,0,0
228339,5,1,1
228341,2,0,0
228343,2,1,0
228346,2,0,0
228347,5,1,1
228348,5,0,1
228350,3,0,0
228351,5,0,0
228352,4,0,0
228353,3,1,0
228354,4,0,0
228360,2,0,0
228361,2,1,0
228362,2,0,0
228364,3,0,0
228365,5,1,1
228367,2,1,0
228370,5,0,0
228373,2,1,0
228374,5,0,0
228375,2,0,0
228379,3,0,1
228380,5,1,0
228383,1,0,0
228386,2,1,0
229301,5,0,1
229302,2,1,0
229303,2,1,0
229305,3,1,1
229307,2,1,0
229308,4,0,0
229311,1,0,1
229313,2,0,0
229315,3,0,1
229318,1,0,1
229319,1,0,1
229321,2,1,0
229322,4,0,0
229323,2,0,0
229324,2,1,1
229326,2,0,0
229327,2,1,0
229329,3,1,1
229330,3,1,0
229331,2,1,0
229332,2,1,1
229333,3,1,1
229334,2,1,0
229335,4,1,0
229336,2,1,0
229338,4,1,0
229341,3,0,1
229342,2,0,1
229343,2,1,0
229344,2,0,0
229345,2,0,1
229347,5,0,1
229348,1,1,1
229349,2,1,0
229350,2,1,0
229351,3,0,1
229352,2,1,0
229353,1,0,1
229356,4,0,0
229357,2,1,0
229358,1,0,1
229360,4,1,0
229361,3,1,1
229362,2,1,0
229363,2,0,1
229364,3,1,0
229365,5,0,0
229366,2,0,0
229367,3,0,0
229368,2,1,0
229369,2,0,0
230301,4,0,0
230302,5,1,1
230308,5,1,1
230310,5,1,0
230311,3,1,0
230316,2,0,1
230317,5,1,1
230320,3,0,0
230324,3,1,0
230330,2,1,1
230339,3,1,0
230340,1,0,1
230341,2,0,1
230342,1,0,1
230343,5,1,1
230348,2,0,1
230349,3,0,0
230351,3,0,0
230353,4,1,0
230363,5,1,1
231305,2,0,0
231306,4,1,0
231307,3,0,0
231312,1,1,0
231319,2,1,0
231320,4,1,0
231321,1,1,0
231322,1,1,1
231325,2,1,0
231326,3,1,0
231327,2,1,0
231328,2,1,0
231330,3,0,0
231331,2,1,0
231332,5,0,1
231335,1,0,0
231336,2,1,0
231338,3,1,0
231339,1,1,0
231340,3,1,0
231341,2,1,0
231347,2,0,1
231348,2,0,0
231350,1,0,1
231353,3,0,1
231354,5,0,1
231355,5,1,1
231357,2,0,0
231359,2,1,0
231360,2,0,1
231362,1,1,0
231363,1,0,0
232303,1,0,0
232310,1,0,0
232311,1,0,1
232318,1,0,0
232320,1,0,1
232331,3,0,0
232332,1,1,0
232334,1,1,1
232336,1,0,1
232342,3,0,1
232349,1,0,1
232357,1,0,1
232358,3,1,0
232371,3,0,1
232372,2,1,1
232373,4,1,0
232374,1,1,0
232376,3,0,0
232378,1,0,1
232380,2,1,0
232383,1,1,1
232390,1,0,1
233305,5,1,1
233306,5,0,1
233307,1,1,0
233308,2,0,1
233309,1,0,1
233310,2,0,0
233312,1,1,0
233314,4,1,0
233315,1,0,0
233316,2,1,0
233317,2,1,0
233318,2,1,0
233321,2,0,0
233323,4,0,0
233324,1,1,0
233326,5,1,1
233327,5,0,1
233330,2,1,0
233331,2,1,0
233333,2,1,0
233334,2,1,0
233337,1,1,1
233338,2,0,1
233339,3,0,0
233341,1,0,0
233344,3,1,0
233345,2,1,0
233346,1,0,0
233348,3,0,1
233349,2,1,0
233350,2,1,1
233351,4,1,0
233352,1,1,0
233353,5,1,1
233354,2,1,0
233355,2,0,0
233358,1,0,0
233359,4,1,0
233362,2,1,1
233363,2,0,0
233365,1,0,0
233368,3,1,0
234301,1,1,1
234303,3,1,0
234304,4,1,0
234307,3,0,0
234310,1,0,0
234311,2,0,0
234312,2,1,0
234314,1,1,0
234318,4,0,0
234321,5,0,1
234324,5,1,1
234325,5,1,1
234327,3,1,0
234328,1,0,1
234329,4,0,0
234331,1,1,0
234332,2,0,0
234334,4,0,0
234336,2,0,1
234337,2,0,0
234339,3,1,1
234345,1,1,0
234346,1,0,1
234347,1,1,1
234349,1,0,0
234352,4,0,0
234354,1,0,1
234355,1,1,1
234356,3,0,0
234357,2,1,0
234360,2,1,0
234362,5,1,0
234363,2,1,0
234364,1,0,0
234366,4,0,1
234369,4,0,0
234370,2,1,0
234372,2,1,0
234373,1,1,0
234376,1,0,1
234379,2,1,0
234380,4,0,0
235303,4,1,0
235304,3,1,0
235305,5,0,1
235307,2,0,0
235311,4,1,0
235313,1,0,1
235315,1,1,0
235318,3,0,1
235319,1,1,0
235320,2,1,0
235322,5,0,1
235323,4,0,1
235329,3,1,0
235330,3,0,1
235332,2,1,0
235335,2,0,0
235339,2,1,0
235340,3,1,1
235341,2,0,0
235346,5,1,1
235348,1,0,0
235350,2,1,0
235351,4,1,0
235352,4,0,0
235353,3,1,0
235354,2,0,0
235356,3,1,0
235358,5,1,1
235360,5,0,1
235362,3,1,1
235363,3,1,0
235364,2,0,0
235366,2,0,0
235367,3,1,1
235369,4,0,0
235370,1,0,0
236302,1,1,0
236306,2,1,1
236307,2,1,1
236309,3,1,0
236311,1,0,0
236313,1,0,0
236316,4,1,0
236318,2,1,1
236319,1,1,0
236322,3,1,1
236323,2,0,0
236325,2,1,0
236329,1,1,0
236331,1,1,0
236332,3,1,1
236334,1,0,0
236342,3,1,1
236344,1,1,0
236346,2,0,1
236347,1,0,0
236348,2,1,1
236353,2,0,0
236354,1,0,1
236355,1,1,0
236356,2,0,1
236357,1,1,0
236359,4,1,1
236361,1,1,0
236364,1,1,0
236366,3,1,0
236367,2,0,1
236368,1,1,1
236371,1,1,0
236373,1,1,0
236374,2,0,0
236375,1,0,0
236378,2,1,0
236380,1,1,0
236381,2,1,1
236382,2,1,0
236383,2,0,1
236384,1,0,0
236389,1,1,0
236390,1,0,0
236394,1,1,0
236395,1,0,0
236398,1,1,0
237301,3,0,1
237302,3,0,1
237303,5,0,1
237304,2,0,1
237307,2,0,1
237308,4,0,0
237309,1,1,1
237310,2,1,0
237312,1,1,0
237314,1,1,0
237316,1,0,0
237317,3,1,0
237318,1,0,1
237320,3,0,1
237321,1,1,0
237322,4,0,0
237323,3,1,0
237324,3,0,0
237325,1,0,0
237327,3,0,0
237328,4,0,0
237329,1,0,1
237331,2,0,0
237332,3,1,0
237333,3,1,0
237334,1,0,0
237335,3,0,1
237337,1,1,0
237338,1,0,0
237339,2,1,1
237340,3,0,0
237341,2,0,1
237343,4,1,0
237344,1,0,0
237346,1,0,0
237347,1,1,0
237348,3,0,1
237349,2,0,0
237350,1,0,0
237351,4,0,0
237353,1,0,0
237354,1,1,1
237355,1,1,0
237356,4,1,1
237357,3,1,0
237358,3,0,0
237359,3,1,0
237360,2,0,0
237362,1,1,0
237364,1,0,0
238301,1,0,0
238304,5,0,1
238305,1,0,0
238307,3,0,1
238309,1,1,0
238312,2,1,0
238313,4,1,0
238314,1,0,0
238315,1,1,0
238316,1,0,0
238317,2,0,0
238318,1,0,0
238319,3,0,0
238320,1,1,0
238322,3,0,1
238323,1,1,0
238324,1,0,0
238325,1,1,0
238326,2,1,0
238327,1,1,0
238328,2,1,0
238329,2,0,1
238330,1,1,0
238331,1,1,0
238332,3,1,0
238333,2,1,0
238334,1,0,0
238335,2,0,0
238336,1,1,0
238340,1,0,0
238343,2,0,0
238344,2,0,0
238345,4,1,0
238346,1,0,0
238347,2,0,1
238348,2,0,0
238351,5,0,0
238352,2,1,0
238354,1,0,0
238357,3,1,1
238358,3,0,1
238361,1,1,0
238362,1,0,0
238363,1,0,0
238366,2,1,0
238367,1,1,0
238368,2,1,0
238369,5,1,1
238370,3,1,1
238391,1,1,0
238392,1,1,0
238393,1,0,0
238394,3,0,0
238395,2,1,1
238396,1,1,0
238397,2,0,0
238398,1,1,0
238399,3,1,0
238400,1,1,0
238404,1,1,0
239304,4,0,0
239307,2,0,0
239308,2,1,1
239309,2,0,1
239310,2,1,0
239314,2,1,0
239315,1,0,0
239317,1,1,0
239318,2,0,0
239319,2,0,0
239320,1,0,0
239321,2,1,1
239323,2,1,0
239324,2,0,1
239329,1,0,0
239330,2,1,0
239331,5,1,1
239332,2,1,0
239337,3,0,0
239338,1,0,1
239341,2,1,0
239342,1,1,0
239344,5,0,1
239349,1,0,1
239352,1,0,0
239356,1,0,1
239359,2,0,1
239360,5,0,0
239361,2,0,0
239367,3,0,0
239368,3,1,1
239369,2,1,1
239371,1,1,1
239372,3,1,1
239373,5,1,1
240307,4,0,0
240308,1,1,0
240309,2,0,0
240312,4,0,0
240313,3,0,1
240314,3,1,1
240315,1,1,0
240318,5,0,1
240319,1,1,1
240325,5,0,1
240326,3,1,1
240328,5,0,1
240329,4,0,0
240331,5,1,1
240333,1,0,1
240334,5,1,0
240337,1,1,1
240338,2,1,0
240342,5,0,0
240345,5,0,1
240346,5,0,0
240347,1,0,1
240348,2,1,0
240349,1,1,1
240354,3,0,0
240358,2,0,0
240359,4,0,0
240360,2,1,0
240362,5,0,0
240365,2,1,0
240369,4,0,0
240370,2,1,0
240374,3,1,1
240376,2,1,0
240377,4,1,0
240378,5,1,1
240380,1,1,0
241302,3,0,1
241304,5,1,0
241308,3,0,0
241310,1,0,0
241314,4,1,1
241315,5,1,1
241317,2,1,1
241321,2,0,0
241322,3,0,1
241326,5,0,0
241327,2,1,0
241330,2,1,1
241333,4,1,0
241334,1,0,1
241335,4,1,0
241338,1,0,1
241339,3,0,1
241343,2,1,0
241344,5,1,1
241348,2,1,0
241350,3,0,1
241352,3,1,0
241355,2,0,1
241356,2,0,1
241357,4,1,0
241361,3,1,1
241364,3,0,1
241365,2,0,0
241370,1,1,1
242301,2,1,0
242303,5,0,0
242306,3,0,1
242308,2,1,0
242310,1,0,1
242311,2,1,1
242312,3,1,0
242314,3,1,0
242316,2,0,0
242317,4,0,0
242318,1,0,1
242319,3,1,0
242320,2,0,0
242322,3,0,0
242323,3,0,0
242324,4,1,0
242325,2,0,0
242326,2,1,0
242331,2,1,1
242332,3,0,0
242333,2,1,0
242336,3,1,0
242337,2,1,0
242340,2,0,0
242341,1,1,0
242342,4,0,0
242347,2,0,0
242349,5,1,1
242350,2,0,0
242351,2,0,0
242352,2,1,1
242353,3,1,1
242355,3,1,0
242357,5,0,1
242358,1,1,1
242360,2,1,0
242363,4,1,0
242364,2,0,1
242367,1,0,1
242368,3,1,1
243303,1,1,0
243304,3,1,0
243306,3,0,1
243311,2,0,0
243313,1,0,0
243316,2,0,0
243317,1,1,0
243319,1,1,0
243328,1,0,0
243331,1,1,0
243332,1,1,1
243336,1,0,0
243339,4,1,0
243345,1,1,1
243347,2,1,0
243348,2,0,1
243350,2,1,0
243355,1,1,0
243359,1,1,1
243364,3,0,1
243367,1,0,1
244301,2,0,0
244302,2,1,0
244305,3,1,1
244306,4,1,0
244309,2,0,0
244310,1,1,0
244311,3,0,0
244313,5,0,1
244317,2,0,0
244320,3,1,0
244321,3,0,0
244322,1,1,0
244324,4,0,0
244331,2,1,0
244332,1,0,0
244336,2,0,0
244338,1,0,1
244341,2,0,1
244342,2,0,0
245302,2,1,0
245309,1,0,1
245313,2,1,0
245314,2,1,0
245318,2,0,0
245321,3,1,0
245322,1,0,0
245324,1,0,0
245326,2,0,1
245327,1,1,0
245328,2,1,0
245330,2,0,0
245340,2,1,1
245349,1,0,1
245366,2,1,0
245368,2,0,0
245370,3,0,0
245376,1,1,0
246301,2,1,1
246303,2,0,0
246306,1,1,1
246307,2,0,1
246308,3,0,1
246309,2,1,1
246311,3,1,0
246315,2,0,0
246316,1,1,1
246317,3,1,1
246324,3,0,0
246327,1,0,1
246328,2,1,1
246329,3,1,1
246330,2,0,0
246337,2,1,0
246338,4,1,0
246339,3,1,1
246340,3,0,1
246341,3,1,1
246342,1,0,1
246345,2,0,0
246346,5,1,1
246347,3,0,1
246350,1,0,1
246353,2,1,0
246354,2,1,0
246358,3,0,1
246360,2,1,0
246368,4,1,0
247301,3,0,1
247302,5,0,1
247303,1,0,0
247309,2,1,0
247310,2,0,0
247311,2,0,1
247312,2,1,0
247313,2,1,0
247317,3,1,1
247319,2,1,0
247323,2,0,1
247324,2,0,0
247326,5,1,0
247327,2,1,1
247330,2,1,0
247332,2,0,0
247334,2,1,1
247336,2,0,0
247342,2,1,0
247343,5,1,1
247344,1,1,1
247349,5,1,0
247350,3,0,0
247352,5,0,1
247353,3,0,1
247357,5,0,1
247358,2,0,0
247359,3,1,1
247362,3,0,1
247363,3,1,1
247365,2,1,0
247367,2,1,0
247368,2,0,1
247372,2,1,0
247373,3,1,0
301301,3,1,1
301302,3,1,1
301303,3,0,1
301308,1,0,0
301312,1,1,1
301314,5,1,0
301315,1,0,1
301317,3,0,1
301318,5,1,0
301319,3,1,0
301321,1,1,0
301323,5,1,0
301324,5,0,1
301325,1,1,1
301327,2,1,0
301329,3,1,0
301330,3,1,0
301331,3,1,1
301332,4,0,1
301334,2,1,0
301338,5,1,1
301339,4,1,0
301341,5,1,0
301345,3,1,1
301346,2,1,0
301347,3,1,0
301348,3,0,1
301349,1,1,1
301351,4,0,0
301352,2,0,0
301355,3,0,1
301357,1,1,0
301360,1,1,1
301361,3,1,0
301363,4,1,0
301365,4,1,0
301366,5,0,0
301367,1,1,0
301369,3,1,0
301370,3,0,1
301381,5,0,1
301383,2,1,0
301386,3,0,1
301388,2,1,0
301389,3,1,1
301390,5,0,0
302301,3,0,1
302302,2,1,0
302303,2,1,0
302304,1,1,0
302306,1,1,1
302307,2,0,0
302308,1,0,0
302309,3,1,0
302310,2,0,0
302311,4,0,0
302313,2,0,0
302314,5,0,1
302315,3,1,1
302317,2,0,0
302318,2,1,0
302319,2,0,0
302320,2,1,1
302321,1,0,0
302322,2,0,0
302325,4,0,0
302326,2,0,1
302327,2,1,0
302328,2,1,0
302329,2,1,0
302330,2,1,0
