"id","lnw","exper","black","hcg.9"
8498,1.49,0.51,1,2
8761,2.101,1.5,0,-2
8761,2.128,2.404,0,-2
8865,1.576,0.517,0,0
8865,1.236,3.839,0,0
8923,1.819,1.94,0,2
8923,1.096,2.694,0,2
8923,1.964,3.414,0,2
9137,1.138,0.28,0,-1
9285,1.374,4.968,1,1
9294,1.448,0.032,0,-3
9297,2.008,2.393,0,2
9310,2.219,0.813,1,-2
9310,1.726,2.577,1,-2
9310,1.709,3.519,1,-2
9313,1.328,1.58,0,0
9395,2.859,0.056,1,1
9395,1.686,1.959,1,1
9395,1.914,3.209,1,1
9471,1.085,0.246,0,-1
9471,1.749,0.33,0,-1
9471,1.705,1.098,0,-1
9601,1.415,0.34,0,0
9601,1.532,1,0,0
9601,0.732,1.245,0,0
9612,1.096,0.915,0,-2
9612,1.714,1.203,0,-2
9664,1.797,2.365,0,-1
9785,1.645,1.019,0,-1
9785,1.577,1.334,0,-1
9785,2.126,1.997,0,-1
9802,1.516,0.212,0,-2
9802,1.138,0.676,0,-2
9909,1.856,0.066,0,2
9909,1.89,0.559,0,2
9984,1.618,0.006,0,-1
9990,1.789,0.196,0,1
9990,1.863,0.211,0,1
10247,1.433,1.034,0,0
10247,1.526,2.431,0,0
10348,1.707,1.322,0,1
10348,1.819,2.822,0,1
10348,1.89,4.322,0,1
10476,1.596,0.38,0,1
10492,1.819,1.515,0,-1
10492,2.66,3.627,0,-1
11763,2.186,0.6,1,2
11897,1.511,1.061,0,0
11897,1.668,1.861,0,0
11897,1.711,5.553,0,0
12151,1.72,0.14,1,-1
12151,1.672,1.64,1,-1
12151,1.895,1.872,1,-1
12152,1.349,0.182,1,-3
12187,1.521,0.6,1,-1
12187,1.776,1.74,1,-1
12190,2.353,2.383,1,0
12200,1.792,0.88,1,-1
12200,1.752,1.726,1,-1
12219,1.433,1.835,0,2
12219,1.462,2.588,0,2
12219,1.558,3.493,0,2
12335,1.376,0.015,0,-3
12335,1.476,0.083,0,-3
12455,1.197,0.1,0,0
12455,3.219,0.253,0,0
