"id","game","nmoves","read"
9,6,6,4
9,7,2,4
9,8,5,4
9,9,2,4
9,10,9,4
9,11,2,4
9,12,5,4
9,13,20,4
9,14,19,4
9,15,10,4
9,16,20,4
9,17,9,4
9,18,9,4
9,19,8,4
9,20,20,4
9,21,20,4
9,22,20,4
9,23,9,4
9,24,17,4
9,25,20,4
9,26,10,4
9,27,20,4
10,1,3,1.3
10,2,2,1.3
10,3,3,1.3
10,4,3,1.3
10,5,3,1.3
10,6,2,1.3
10,7,3,1.3
10,8,3,1.3
10,9,7,1.3
10,10,5,1.3
10,11,3,1.3
10,12,3,1.3
10,13,9,1.3
10,14,3,1.3
10,15,3,1.3
10,16,3,1.3
10,17,5,1.3
10,18,2,1.3
10,19,3,1.3
10,20,3,1.3
10,21,4,1.3
10,22,3,1.3
10,23,3,1.3
10,24,3,1.3
10,25,3,1.3
10,26,7,1.3
10,27,20,1.3
11,1,6,3.4
11,2,5,3.4
11,3,7,3.4
11,4,6,3.4
11,5,6,3.4
11,6,3,3.4
11,7,2,3.4
11,8,4,3.4
11,9,8,3.4
11,10,2,3.4
11,11,6,3.4
11,12,3,3.4
11,13,6,3.4
11,14,2,3.4
11,15,3,3.4
11,16,7,3.4
11,17,4,3.4
11,18,4,3.4
11,19,7,3.4
11,20,16,3.4
11,21,3,3.4
11,22,6,3.4
11,23,20,3.4
11,24,20,3.4
11,25,20,3.4
11,26,20,3.4
11,27,10,3.4
12,1,3,3
12,2,5,3
12,3,3,3
12,4,2,3
12,5,3,3
12,6,2,3
12,7,3,3
12,8,6,3
12,9,5,3
12,10,3,3
12,11,3,3
12,12,2,3
12,13,5,3
12,14,4,3
12,15,3,3
12,16,3,3
12,17,3,3
12,18,3,3
12,19,3,3
12,20,3,3
12,21,3,3
12,22,3,3
12,23,17,3
12,24,20,3
12,25,3,3
12,26,9,3
12,27,15,3
13,1,5,1
13,2,2,1
13,3,3,1
13,4,5,1
13,5,7,1
13,6,6,1
13,7,8,1
13,8,10,1
13,9,5,1
13,10,12,1
13,11,5,1
13,12,6,1
13,13,4,1
13,14,6,1
13,15,4,1
13,16,11,1
13,17,8,1
13,18,4,1
13,19,3,1
13,20,5,1
13,21,7,1
13,22,3,1
13,23,11,1
13,24,2,1
13,25,4,1
13,26,20,1
13,27,3,1
14,1,3,2.1
14,2,3,2.1
14,3,6,2.1
14,4,6,2.1
14,5,6,2.1
14,6,3,2.1
14,7,3,2.1
14,8,3,2.1
14,9,3,2.1
14,10,6,2.1
14,11,3,2.1
14,12,3,2.1
14,13,6,2.1
14,14,6,2.1
14,15,8,2.1
14,16,9,2.1
14,17,13,2.1
14,18,20,2.1
14,19,20,2.1
14,20,15,2.1
14,21,20,2.1
14,22,20,2.1
14,23,20,2.1
14,24,8,2.1
14,25,15,2.1
14,26,20,2.1
14,27,17,2.1
15,1,3,1.9
15,2,4,1.9
15,3,3,1.9
15,4,3,1.9
15,5,4,1.9
15,6,6,1.9
15,7,6,1.9
15,8,3,1.9
15,9,6,1.9
15,10,8,1.9
15,11,3,1.9
15,12,6,1.9
15,13,6,1.9
15,14,9,1.9
15,15,8,1.9
15,16,6,1.9
15,17,6,1.9
15,18,11,1.9
15,19,20,1.9
15,20,6,1.9
15,21,6,1.9
15,22,20,1.9
15,23,15,1.9
15,24,18,1.9
15,25,20,1.9
15,26,10,1.9
15,27,20,1.9
16,1,7,1.7
16,2,3,1.7
16,3,3,1.7
16,4,6,1.7
16,5,3,1.7
16,6,6,1.7
16,7,7,1.7
16,8,3,1.7
16,9,4,1.7
16,10,3,1.7
16,11,4,1.7
16,12,8,1.7
16,13,17,1.7
16,14,10,1.7
16,15,20,1.7
16,16,20,1.7
16,17,7,1.7
16,18,14,1.7
16,19,20,1.7
16,20,14,1.7
16,21,20,1.7
16,22,9,1.7
16,23,13,1.7
16,24,20,1.7
16,25,20,1.7
16,26,9,1.7
16,27,8,1.7
17,1,3,1.8
17,2,4,1.8
17,3,4,1.8
17,4,3,1.8
17,5,3,1.8
17,6,3,1.8
17,7,5,1.8
17,8,3,1.8
17,9,3,1.8
17,10,3,1.8
17,11,3,1.8
17,12,3,1.8
17,13,3,1.8
17,14,3,1.8
17,15,3,1.8
17,16,7,1.8
17,17,20,1.8
17,18,20,1.8
17,19,20,1.8
17,20,17,1.8
17,21,16,1.8
17,22,20,1.8
17,23,15,1.8
17,24,18,1.8
17,25,15,1.8
17,26,18,1.8
17,27,18,1.8
