"id","weeks","censor"
492,23.14,0
493,23.14,0
494,23.14,0
495,23.28,1
496,23.28,1
497,23.28,1
498,23.42,0
499,23.57,0
500,23.71,0
501,23.71,1
502,23.85,1
503,24,1
504,24,1
505,24,1
506,24.14,1
507,24.14,0
508,24.14,0
509,24.28,1
510,24.28,1
511,24.28,1
512,24.28,1
513,24.28,1
514,24.42,0
515,24.57,0
516,24.71,0
517,24.71,0
518,24.85,0
519,25,1
520,25,1
521,25,1
522,25,0
523,25,0
524,25.28,1
525,25.28,1
526,25.28,1
527,25.28,1
528,25.28,1
529,25.28,1
530,25.28,1
531,25.28,0
532,25.28,0
533,25.28,1
534,25.28,1
535,25.28,1
536,25.57,0
537,25.57,0
538,25.57,0
539,25.71,0
540,25.71,0
541,25.85,1
542,25.85,0
543,26,1
544,26,1
545,26,0
546,26,1
547,26,1
548,26,1
549,26,1
550,26,1
551,26,1
552,26,1
553,26,1
554,26,1
555,26.28,1
556,26.28,0
557,26.71,1
558,27,1
559,27,0
560,27.14,1
561,27.14,0
562,27.28,1
563,27.28,1
564,27.57,0
565,27.57,0
566,27.71,0
567,27.71,0
568,27.85,1
569,27.85,1
570,27.85,1
571,28.14,0
572,28.28,1
573,28.28,0
574,28.28,0
575,28.42,1
576,28.57,0
577,28.85,1
578,29,1
579,29,1
580,29,1
581,29.14,0
582,29.14,1
583,29.28,0
584,29.28,1
585,29.28,1
586,29.28,1
587,29.42,0
588,29.42,1
589,29.57,0
590,29.71,1
591,29.71,1
592,29.85,1
593,30.14,0
594,30.28,1
595,30.28,1
596,30.28,1
597,30.28,1
598,30.28,1
599,30.28,1
600,30.28,1
601,30.28,1
602,30.42,0
603,30.71,1
604,30.85,1
605,31,0
606,31,1
607,31.14,1
608,31.14,1
609,31.28,1
610,31.28,1
611,31.57,0
612,31.57,0
613,31.57,0
614,31.71,0
615,32,1
616,32.14,1
617,32.14,1
618,32.14,1
619,32.14,1
620,32.14,1
621,32.42,0
622,32.57,0
623,32.57,0
624,32.85,1
625,33,0
626,33.14,1
627,33.28,1
628,33.28,1
629,33.28,1
630,33.28,1
631,33.28,1
632,33.28,1
633,33.57,0
634,33.57,1
635,33.85,1
636,34,0
637,34,0
638,34,1
639,34,0
640,34,0
641,34,1
642,34,1
643,34.14,1
644,34.14,0
645,34.28,1
646,34.28,1
647,34.28,1
648,34.28,1
649,34.28,1
650,34.28,1
651,34.42,0
652,34.42,0
653,34.57,1
654,34.57,1
655,34.57,0
656,34.57,1
657,34.57,0
658,34.57,1
659,34.71,0
660,34.71,1
661,35,0
662,35.28,0
663,35.28,1
664,35.28,1
665,35.28,1
666,35.42,0
667,36,0
668,36,1
669,36.14,1
670,36.14,1
671,36.14,0
672,36.28,0
673,36.42,0
674,36.71,1
675,36.71,0
676,36.71,1
677,36.71,0
678,36.71,1
679,37,1
680,37.14,1
681,37.28,1
682,37.28,1
683,37.28,1
684,37.28,1
685,37.28,1
686,37.28,1
687,37.28,1
688,37.28,1
689,37.28,1
690,37.28,1
691,37.71,1
692,37.85,1
693,38,1
694,38,0
695,38,1
696,38,1
697,38.14,1
698,38.14,0
699,38.14,1
700,38.14,0
701,38.14,1
702,38.28,1
703,38.28,1
704,38.28,1
705,38.28,1
706,38.28,1
707,38.28,1
708,38.57,0
709,38.71,1
710,38.71,1
711,38.85,1
712,38.85,0
713,38.85,0
714,38.85,1
715,39,1
716,39,0
717,39,1
718,39,1
719,39,1
720,39,1
721,39,1
722,39,1
723,39,1
724,39,1
725,39.14,0
726,39.14,1
727,39.28,1
728,39.28,1
729,39.28,0
730,39.28,1
731,39.42,0
732,39.57,0
733,39.71,0
734,39.71,1
735,39.85,1
736,40,0
737,40.14,0
738,40.28,1
739,40.28,0
740,40.28,1
741,40.28,1
742,40.57,0
743,40.57,0
744,40.71,0
745,40.85,0
746,41,0
747,41,0
748,41.28,1
749,41.28,1
750,41.42,0
751,41.42,1
752,42,1
753,42,0
754,42.14,0
755,42.28,1
756,42.28,1
757,42.28,1
758,42.28,1
759,42.42,0
760,42.57,0
761,42.71,1
762,42.71,1
763,42.71,1
764,43.28,1
765,43.28,0
766,43.28,1
767,43.28,1
768,43.28,1
769,43.28,1
770,43.28,0
771,43.42,1
772,43.42,1
773,43.42,1
774,43.42,0
775,43.42,1
776,43.42,1
777,43.42,1
778,43.57,0
779,43.57,0
780,44,1
781,44.28,1
782,44.28,1
783,44.28,0
784,44.28,0
785,44.42,0
786,44.42,0
787,44.71,1
788,44.71,1
789,45,1
790,45,0
791,45.14,1
792,45.14,1
793,45.28,1
794,45.28,1
795,45.28,1
796,45.28,1
797,45.28,1
798,45.28,1
799,45.42,0
800,45.42,0
801,45.57,0
802,45.71,1
803,45.71,1
804,45.71,1
805,45.71,1
806,46.14,1
807,46.14,0
808,46.14,1
809,46.28,1
810,46.28,0
811,46.28,1
812,46.57,0
813,46.71,1
814,46.71,1
815,47,1
816,47,1
817,47,1
818,47.14,0
819,47.14,1
820,47.28,1
821,47.28,1
822,47.28,0
823,47.28,1
824,47.28,1
825,47.28,1
826,47.28,0
827,47.28,1
828,47.28,1
829,47.28,1
830,47.28,1
831,47.28,1
832,47.42,0
833,47.42,0
834,47.42,1
835,47.57,0
836,47.57,0
837,47.57,0
838,47.71,0
839,47.71,1
840,47.71,1
841,47.71,1
842,47.71,1
843,47.71,1
844,47.71,0
845,47.71,1
846,47.71,1
847,47.71,1
848,47.71,1
849,47.85,1
850,47.85,0
851,47.85,1
852,47.85,1
853,48,0
854,48,0
855,48,1
856,48.14,1
857,48.14,0
858,48.28,1
859,48.28,1
860,48.28,1
861,48.28,1
862,48.57,0
863,48.71,1
864,49,0
865,49.14,1
866,49.28,1
867,49.28,0
868,49.42,0
869,49.42,0
870,49.85,0
871,49.85,0
872,49.85,0
873,50.14,1
874,50.14,1
875,50.14,1
876,50.28,1
877,50.28,1
878,50.28,1
879,50.71,0
880,50.85,0
881,51,0
882,51.14,1
883,51.14,1
884,51.14,1
885,51.28,0
886,51.28,1
887,51.28,1
888,51.28,1
889,51.28,1
890,51.42,0
891,52,0
892,52,0
893,52,0
894,52,0
895,52,1
896,52,0
897,52,0
898,52,0
899,52,0
900,52,1
901,52.14,0
902,52.14,0
903,52.14,0
904,52.14,1
905,52.14,0
906,52.14,1
907,52.14,1
908,52.14,0
909,52.14,0
910,52.14,0
911,52.14,1
912,52.14,1
913,52.14,0
914,52.14,1
915,52.14,0
916,52.14,1
917,52.14,1
918,52.14,1
919,52.14,1
920,52.14,1
921,52.14,1
922,52.14,1
923,52.14,1
924,52.14,1
925,52.14,1
926,52.14,1
927,52.14,0
928,52.14,1
929,52.14,1
930,52.14,0
931,52.14,1
932,52.14,1
933,52.14,1
934,52.14,1
935,52.28,1
936,52.28,0
937,52.28,0
938,52.28,0
939,52.28,1
940,52.28,1
941,52.28,1
942,52.28,0
943,52.28,1
944,52.28,1
945,52.28,0
946,52.28,0
947,52.28,1
948,52.28,0
949,52.42,0
950,52.57,0
951,52.57,0
952,52.57,1
953,52.71,1
954,52.85,1
955,53,1
956,53,0
957,53,1
958,53.14,0
959,53.28,0
960,53.28,1
961,53.28,0
962,53.28,1
963,53.42,0
964,53.57,0
965,53.71,0
966,54,1
967,54,1
968,54.28,1
969,54.28,1
970,54.28,1
971,54.28,1
972,54.28,1
973,54.28,0
974,54.28,1
975,54.28,1
976,54.28,1
977,54.28,1
978,54.28,1
979,54.28,1
980,54.28,1
981,54.42,0
982,54.42,1
983,54.42,1
984,54.42,1
985,54.42,1
986,54.42,0
987,54.57,0
988,54.71,1
989,54.85,0
990,55,1
991,55.14,1
992,55.14,0
993,55.28,1
994,55.28,1
995,55.28,0
996,55.28,1
997,55.28,1
998,55.28,1
999,55.28,1
1000,55.28,1
1001,55.28,1
1002,55.28,1
1003,55.42,0
1004,55.42,0
1005,55.42,0
1006,55.57,0
1007,55.85,1
1008,55.85,0
1009,55.85,1
1010,55.85,1
1011,55.85,1
1012,56,1
1013,56,1
1014,56,1
1015,56,1
1016,56.14,1
1017,56.14,1
1018,56.14,1
1019,56.14,1
1020,56.14,1
1021,56.14,1
1022,56.14,1
1023,56.14,1
1024,56.14,1
1025,56.14,1
1026,56.14,1
1027,56.14,1
1028,56.14,1
1029,56.14,1
1030,56.42,1
1031,56.42,1
1032,56.42,1
1033,56.42,1
1034,56.42,1
1035,56.42,1
1036,56.42,1
1037,56.42,1
1038,56.42,1
1039,56.42,1
1040,56.42,0
1041,56.42,1
1042,56.42,1
1043,56.42,1
1044,56.42,1
1045,56.42,1
1046,56.42,1
1047,56.42,1
1048,56.42,1
1049,56.42,1
1050,56.57,1
1051,56.71,1
1052,56.85,1
1053,57,1
1054,57.14,0
1055,57.14,1
1056,57.28,1
1057,57.28,1
1058,57.28,1
1059,57.28,1
1060,57.28,1
1061,57.28,0
1062,57.28,1
1063,57.28,1
1064,57.57,1
1065,57.57,0
1066,57.85,0
1067,58.14,1
1068,58.28,1
1069,58.28,1
1070,58.28,1
1071,58.28,1
1072,58.28,1
1073,58.28,1
1074,58.28,1
1075,58.28,1
1076,58.28,1
1077,58.28,1
1078,58.57,0
1079,58.71,1
1080,58.71,1
1081,58.71,1
1082,58.71,0
1083,58.85,1
1084,58.85,1
1085,58.85,1
1086,58.85,1
1087,58.85,1
1088,58.85,1
1089,58.85,1
1090,58.85,1
1091,59,1
1092,59.14,1
1093,59.14,1
1094,59.14,1
1095,59.14,1
1096,59.14,0
1097,59.14,0
1098,59.14,0
1099,59.28,1
1100,59.28,1
1101,59.28,1
1102,59.28,1
1103,59.28,1
1104,59.28,1
1105,59.28,1
1106,59.28,1
1107,59.28,1
1108,59.28,1
1109,59.71,1
1110,59.85,0
1111,59.85,1
1112,59.85,1
1113,59.85,1
1114,60,0
1115,60,1
1116,60,1
1117,60.14,1
1118,60.14,1
1119,60.14,1
1120,60.28,1
1121,60.28,1
1122,60.28,1
1123,60.28,1
1124,60.28,1
1125,60.28,0
1126,60.28,1
1127,60.28,1
1128,60.28,1
1129,60.28,1
1130,60.28,1
1131,60.28,1
1132,60.28,1
1133,60.28,1
1134,60.57,0
1135,60.57,0
1136,60.71,1
1137,60.71,1
1138,60.85,1
1139,60.85,0
1140,60.85,1
1141,60.85,1
1142,60.85,1
1143,60.85,1
1144,60.85,1
1145,60.85,1
1146,60.85,1
1147,60.85,1
1148,60.85,1
1149,60.85,1
1150,60.85,1
1151,60.85,1
1152,60.85,1
1153,60.85,1
1154,60.85,1
1155,60.85,1
1156,60.85,1
1157,60.85,1
1158,60.85,1
1159,60.85,1
1160,60.85,1
1161,60.85,1
1162,60.85,1
1163,60.85,1
1164,60.85,1
1165,60.85,1
1166,60.85,1
1167,60.85,1
1168,60.85,1
1169,60.85,1
1170,60.85,1
1171,60.85,1
1172,60.85,1
1173,61,0
1174,61,0
1175,61.14,1
1176,61.28,1
1177,61.28,1
1178,61.28,1
1179,61.28,1
1180,61.28,1
1181,61.28,1
1182,61.28,1
1183,61.28,1
1184,61.28,1
1185,61.28,1
1186,61.28,1
1187,61.85,1
1188,61.85,1
1189,62.28,1
1190,62.28,1
1191,62.28,1
1192,62.28,1
1193,62.28,1
1194,62.28,1
1195,62.28,1
1196,62.28,1
1197,62.57,0
1198,62.85,1
1199,62.85,1
1200,62.85,1
1201,62.85,1
1202,63,1
1203,63,0
1204,63.14,0
1205,63.28,1
1206,63.28,1
1207,63.28,1
1208,63.28,1
1209,63.28,1
1210,63.28,1
1211,63.28,1
1212,63.28,1
1213,63.28,1
1214,63.28,1
1215,63.28,1
1216,63.28,1
1217,63.28,1
1218,63.28,1
1219,63.28,1
1220,63.28,1
1221,63.28,1
1222,63.28,1
1223,63.28,1
1224,63.28,1
1225,63.28,1
1226,63.28,1
1227,63.28,1
1228,63.28,1
1229,63.28,1
1230,63.28,1
1231,63.57,1
1232,63.71,0
1233,63.85,1
1234,63.85,1
1235,64,1
1236,64.14,0
1237,64.28,1
1238,64.28,1
1239,64.28,1
1240,64.28,1
1241,64.28,1
1242,64.28,1
1243,64.28,1
1244,64.28,0
1245,64.28,1
1246,64.28,1
1247,64.28,1
1248,64.28,1
1249,64.42,1
1250,64.57,0
1251,64.57,0
1252,64.57,0
1253,64.71,1
1254,64.71,1
1255,64.71,1
1256,64.85,0
1257,64.85,0
1258,65,1
1259,65,1
1260,65.14,1
1261,65.14,1
1262,65.14,1
1263,65.28,1
1264,65.28,1
1265,65.28,1
1266,65.28,1
1267,65.28,1
1268,65.28,1
1269,65.28,1
1270,65.28,1
1271,65.28,1
1272,65.28,1
1273,65.28,1
1274,65.28,1
1275,65.28,1
1276,65.28,1
1277,65.28,1
1278,65.28,1
1279,65.28,1
1280,65.28,1
1281,65.28,1
1282,65.28,1
1283,65.28,1
1284,65.28,1
1285,65.28,1
1286,65.28,1
1287,65.28,1
1288,65.28,1
1289,65.28,1
1290,65.28,1
1291,65.28,1
1292,65.28,1
1293,65.28,1
1294,65.28,1
1295,65.28,1
1296,65.28,1
1297,65.28,1
1298,65.28,1
1299,65.28,1
1300,65.28,1
1301,65.28,1
1302,65.28,1
1303,65.28,1
1304,65.28,1
1305,65.28,1
1306,65.28,1
1307,65.42,1
1308,65.71,0
1309,66,1
1310,66.28,1
1311,66.57,0
1312,66.71,1
1313,66.85,1
1314,66.85,1
1315,67.14,0
1316,67.14,1
1317,67.28,1
1318,67.28,1
1319,67.57,1
1320,67.57,1
1321,68.28,1
1322,68.42,0
1323,68.42,0
1324,68.71,0
1325,69,1
1326,69.28,1
1327,69.28,1
1328,69.28,1
1329,69.28,1
1330,69.42,0
1331,69.42,0
1332,69.57,1
1333,69.57,1
1334,69.57,1
1335,69.57,1
1336,69.57,1
1337,69.57,1
1338,69.57,1
1339,69.57,1
1340,69.57,1
1341,69.57,1
1342,69.57,0
1343,69.57,1
1344,69.57,0
1345,69.71,0
1346,70.14,1
1347,70.14,1
1348,70.14,1
1349,70.28,0
1350,70.71,0
1351,71.14,0
1352,71.28,0
1353,71.28,1
1354,71.28,0
1355,71.28,1
1356,71.71,1
1357,71.85,0
1358,72,1
1359,72,0
1360,72,1
1361,72,1
1362,72,1
1363,72,1
1364,72,0
1365,72.28,1
1366,72.28,1
1367,72.28,1
1368,72.28,1
1369,72.28,1
1370,72.42,0
1371,72.57,0
1372,72.71,0
1373,72.71,1
1374,73,0
1375,73.14,0
1376,73.28,0
1377,73.28,1
1378,73.42,0
1379,73.57,0
1380,73.57,0
1381,73.57,0
1382,73.71,0
1383,73.85,0
1384,74,1
1385,74,1
1386,74,0
1387,74,1
1388,74,1
1389,74,1
1390,74,1
1391,74,1
1392,74,1
1393,74,1
1394,74.85,1
1395,74.85,1
1396,75.14,0
1397,75.14,1
1398,75.14,1
1399,75.14,1
1400,75.28,1
1401,75.28,1
1402,75.57,0
1403,75.85,0
1404,76,1
1405,76.14,1
1406,76.14,1
1407,76.28,1
1408,76.28,1
1409,76.28,1
1410,76.85,1
1411,77.28,1
1412,77.28,0
1413,77.28,1
1414,77.57,0
1415,77.71,0
1416,77.71,0
1417,77.85,1
1418,78,0
1419,78,0
1420,78.14,1
1421,78.28,1
1422,78.28,1
1423,78.28,1
1424,78.28,1
1425,79,0
1426,79.14,1
1427,79.28,1
1428,79.28,1
1429,79.28,1
1430,79.42,0
1431,79.57,0
1432,80.14,1
1433,80.28,1
1434,80.28,0
1435,80.42,0
1436,80.57,0
1437,80.71,1
1438,81,1
1439,81.28,1
1440,81.28,0
1441,81.85,0
1442,81.85,1
1443,81.85,1
1444,82,1
1445,82.28,1
1446,82.28,1
1447,82.28,1
1448,82.28,1
1449,82.28,0
1450,82.28,1
1451,82.71,1
1452,82.71,1
1453,82.71,1
1454,82.71,1
1455,82.71,1
1456,82.71,1
1457,82.71,1
1458,82.71,1
1459,83,0
1460,83,1
1461,83.28,1
1462,83.28,0
1463,83.57,0
1464,83.57,0
1465,83.71,1
1466,83.85,0
1467,83.85,0
1468,83.85,1
1469,84,1
1470,84,0
1471,84.14,1
1472,84.14,1
1473,84.42,0
1474,84.57,0
1475,84.71,1
1476,84.71,1
1477,85.14,1
1478,85.14,0
1479,85.28,1
1480,85.28,1
1481,85.28,1
1482,85.28,1
1483,85.28,1
1484,85.57,0
1485,85.85,1
1486,85.85,0
1487,86.14,1
1488,86.14,1
1489,86.28,0
1490,86.42,0
1491,86.57,0
1492,86.57,0
1493,86.71,1
1494,86.71,0
1495,86.71,1
1496,86.71,1
1497,86.85,1
1498,87,1
1499,87.14,1
1500,87.28,1
1501,87.28,1
1502,87.28,1
1503,87.57,1
1504,87.85,0
1505,88,1
1506,88.14,1
1507,88.28,1
1508,88.42,1
1509,88.85,1
1510,89,1
1511,89.14,1
1512,89.14,1
1513,89.14,1
1514,89.14,0
1515,89.14,1
1516,89.28,1
1517,89.28,1
1518,89.28,1
1519,89.28,1
1520,89.71,1
1521,89.85,1
1522,89.85,1
1523,90,1
1524,90.28,1
1525,90.28,1
1526,90.28,1
1527,90.28,1
1528,90.28,1
1529,90.28,1
1530,90.28,0
1531,90.28,1
1532,90.28,1
1533,90.57,1
1534,90.71,1
1535,90.85,1
1536,91,1
1537,91,1
1538,91,1
1539,91,1
1540,91,1
1541,91,1
1542,91,1
1543,91,1
1544,91,1
1545,91.14,1
1546,91.14,1
1547,91.14,1
1548,91.14,1
1549,91.14,1
1550,91.14,1
1551,91.14,1
1552,91.14,1
1553,91.14,1
1554,91.14,1
1555,91.14,1
1556,91.14,1
1557,91.14,1
1558,91.14,1
1559,91.14,1
1560,91.28,1
1561,91.85,0
1562,92.28,1
1563,92.57,0
1564,92.71,1
1565,92.71,0
1566,93.28,0
1567,93.28,1
1568,93.28,1
1569,93.28,1
1570,93.57,0
1571,94,1
1572,94.14,1
1573,94.28,1
1574,95,1
1575,95.14,1
1576,95.14,1
1577,95.28,1
1578,95.28,1
1579,95.28,1
1580,95.28,1
1581,95.57,0
1582,95.57,1
1583,95.57,0
1584,95.57,1
1585,95.57,1
1586,95.57,1
1587,95.57,1
1588,95.57,1
1589,95.57,1
1590,96,1
1591,96,0
1592,96.28,1
1593,97.14,1
1594,97.14,1
1595,97.14,1
1596,97.28,1
1597,97.28,1
1598,97.42,1
1599,97.57,0
1600,97.71,1
1601,97.71,1
1602,97.85,0
1603,97.85,1
1604,98,0
1605,98,1
1606,98.14,1
1607,98.14,0
1608,98.14,0
1609,98.28,1
1610,98.57,0
1611,98.71,1
1612,98.85,0
1613,98.85,1
1614,99.14,0
1615,99.28,1
1616,99.57,0
1617,99.85,1
1618,99.85,1
1619,99.85,1
1620,99.85,1
1621,100,0
1622,100,0
1623,100.28,1
1624,100.28,1
1625,100.28,1
1626,100.57,0
1627,100.71,1
1628,101,1
1629,101.14,1
1630,101.14,1
1631,101.14,1
1632,101.28,1
1633,101.28,1
1634,101.28,1
1635,101.57,1
1636,101.71,1
1637,101.85,0
1638,102,1
1639,102.14,1
1640,102.14,1
1641,102.14,0
1642,102.28,1
1643,102.28,0
1644,102.28,0
1645,102.28,1
1646,102.28,0
1647,102.28,1
1648,102.28,1
1649,102.28,1
1650,102.28,1
1651,102.28,1
1652,102.28,1
1653,102.42,1
1654,102.71,1
1655,102.85,1
1656,103,1
1657,103.14,1
1658,103.14,1
1659,103.14,1
1660,103.14,1
1661,103.28,1
1662,103.28,1
1663,103.28,1
1664,103.28,0
1665,103.57,0
1666,103.85,1
1667,103.85,0
1668,104,0
1669,104,1
1670,104.14,0
1671,104.14,1
1672,104.14,0
1673,104.28,1
1674,104.28,0
1675,104.28,1
1676,104.28,1
1677,104.28,1
1678,104.28,0
1679,104.28,1
1680,104.28,1
1681,104.28,1
1682,104.28,0
1683,104.28,1
1684,104.28,1
1685,104.28,1
1686,104.28,1
1687,104.28,1
1688,104.28,0
1689,104.42,1
1690,104.42,0
1691,104.42,0
1692,104.42,0
1693,104.42,1
1694,104.42,0
1695,104.42,0
1696,104.57,0
1697,104.71,1
1698,105.14,1
1699,105.28,0
1700,105.28,1
1701,105.28,1
1702,105.28,1
1703,105.28,1
1704,105.28,1
1705,105.42,1
1706,105.57,1
1707,105.71,0
1708,105.85,1
1709,106,1
1710,106.14,1
1711,106.28,1
1712,106.28,1
1713,106.28,1
1714,106.28,1
1715,106.28,1
1716,106.42,0
1717,106.42,0
1718,106.57,1
1719,106.57,1
1720,106.71,1
1721,106.71,1
1722,107.28,1
