"ID","TIME","CENSOR","ABUSED","BLACK","ABLACK"
495,15,0,0,1,0
496,14,0,1,1,1
497,31,1,1,0,0
498,29,1,1,0,0
499,28,1,1,0,0
500,25,1,1,0,0
501,23,1,1,0,0
502,21,1,1,0,0
503,31,1,0,0,0
504,31,1,1,0,0
505,24,1,1,0,0
507,15,0,1,1,1
508,15,0,0,1,0
509,28,1,1,1,1
510,25,1,0,1,0
511,25,1,1,1,1
512,25,1,0,0,0
513,25,1,1,0,0
514,24,1,0,0,0
515,24,1,1,0,0
516,21,1,0,0,0
517,21,1,1,0,0
518,13,0,0,1,0
519,32,1,1,1,1
520,32,1,0,1,0
521,9,0,1,1,1
523,29,1,1,1,1
524,32,1,1,1,1
525,31,1,0,1,0
526,16,0,1,1,1
527,28,1,0,0,0
528,28,1,1,0,0
529,26,1,0,0,0
530,15,0,1,0,0
531,24,1,0,0,0
532,24,1,1,0,0
533,28,1,1,0,0
534,27,1,1,0,0
535,26,1,0,0,0
536,16,0,1,0,0
537,31,1,0,0,0
539,29,1,0,0,0
540,29,1,1,0,0
541,25,1,0,0,0
542,25,1,1,0,0
543,21,1,0,1,0
544,21,1,1,1,1
545,31,1,0,0,0
546,31,1,1,0,0
547,29,1,0,1,0
548,29,1,1,1,1
549,26,1,0,1,0
550,26,1,1,1,1
551,23,1,0,1,0
552,23,1,1,1,1
553,22,1,0,1,0
555,29,1,1,1,1
556,28,1,0,1,0
557,28,1,1,1,1
558,16,0,1,1,1
559,23,1,0,1,0
560,23,1,1,1,1
561,21,1,0,1,0
562,21,1,1,1,1
563,29,1,0,1,0
564,29,1,1,1,1
565,26,1,0,1,0
566,27,1,1,1,1
567,26,1,0,1,0
568,26,1,1,1,1
569,23,1,1,0,0
571,26,1,1,0,0
572,25,1,0,0,0
573,25,1,1,0,0
574,23,1,0,0,0
575,23,1,1,0,0
576,31,1,0,0,0
577,16,0,1,0,0
578,28,1,0,0,0
579,15,0,1,0,0
580,14,0,0,1,0
581,25,1,1,1,1
582,23,1,0,1,0
583,9,0,1,1,1
584,17,0,0,1,0
585,22,1,1,1,1
587,14,0,1,0,0
588,13,0,0,0,0
589,28,1,1,0,0
590,26,1,0,0,0
591,13,0,1,0,0
592,31,1,0,1,0
593,11,0,1,1,1
594,32,1,0,0,0
595,32,1,1,0,0
596,31,1,0,0,0
597,31,1,1,0,0
598,29,1,0,0,0
599,30,1,1,0,0
600,23,1,1,0,0
601,27,1,1,0,0
603,24,1,0,0,0
604,24,1,1,0,0
605,31,1,0,0,0
606,15,0,1,0,0
607,29,1,0,0,0
608,29,1,1,0,0
609,27,1,0,0,0
610,27,1,1,0,0
611,24,1,1,0,0
612,21,1,1,0,0
613,21,1,0,1,0
614,21,1,1,1,1
615,22,1,1,0,0
616,28,1,1,0,0
617,27,1,1,0,0
619,24,1,1,0,0
620,21,1,0,0,0
621,21,1,1,0,0
622,23,1,0,0,0
623,23,1,1,0,0
624,11,0,0,0,0
625,23,1,1,0,0
626,15,0,0,1,0
627,15,0,1,1,1
628,29,1,0,1,0
629,29,1,1,1,1
630,28,1,0,1,0
631,14,0,1,1,1
632,20,1,0,1,0
633,20,1,1,1,1
635,29,1,0,1,0
636,29,1,1,1,1
637,28,1,0,1,0
638,16,0,1,1,1
639,25,1,0,1,0
640,25,1,1,1,1
641,18,0,0,1,0
642,25,1,1,1,1
643,28,1,0,0,0
644,29,1,1,0,0
645,26,1,1,0,0
646,23,1,0,0,0
647,23,1,1,0,0
648,21,1,0,0,0
649,21,1,1,0,0
651,29,1,1,0,0
652,28,1,0,0,0
653,28,1,1,0,0
654,26,1,0,0,0
655,13,0,1,0,0
656,22,1,1,0,0
657,12,0,0,1,0
658,11,0,1,1,1
659,24,1,0,1,0
660,24,1,1,1,1
661,22,1,0,1,0
662,22,1,1,1,1
663,21,1,0,1,0
664,21,1,1,1,1
665,29,1,0,0,0
667,28,1,0,0,0
668,28,1,1,0,0
669,27,1,0,0,0
670,28,1,1,0,0
671,20,1,0,1,0
672,20,1,1,1,1
673,13,0,0,0,0
674,32,1,1,0,0
675,31,1,0,0,0
676,31,1,1,0,0
677,28,1,0,0,0
678,10,0,1,0,0
679,27,1,0,0,0
680,16,0,1,0,0
681,23,1,0,0,0
683,22,1,0,0,0
684,16,0,1,0,0
685,31,1,1,0,0
686,28,1,0,0,0
687,29,1,1,0,0
688,27,1,1,0,0
689,17,0,1,0,0
690,15,0,1,1,1
691,13,0,0,0,0
692,26,1,1,0,0
693,24,1,1,0,0
694,25,1,1,1,1
695,24,1,0,1,0
696,12,0,1,1,1
697,18,0,0,1,0
699,21,1,0,1,0
700,21,1,1,1,1
701,15,0,1,0,0
702,16,0,0,1,0
703,12,0,1,1,1
704,13,0,1,1,1
705,15,0,1,1,1
706,24,1,0,1,0
707,24,1,1,1,1
708,26,1,0,1,0
709,17,0,1,1,1
710,24,1,0,1,0
711,24,1,1,1,1
712,17,0,0,1,0
713,12,0,1,1,1
715,31,1,1,0,0
716,30,1,0,0,0
717,30,1,1,0,0
719,15,0,0,0,0
720,31,1,1,0,0
721,24,1,0,0,0
722,15,0,1,0,0
723,23,1,0,0,0
724,14,0,1,0,0
725,23,1,0,0,0
726,14,0,1,0,0
727,31,1,0,0,0
728,31,1,1,0,0
729,30,1,0,0,0
730,15,0,1,0,0
732,27,1,0,0,0
733,26,1,1,0,0
734,22,1,0,0,0
735,22,1,1,0,0
736,13,0,1,0,0
737,14,0,1,0,0
738,21,1,0,0,0
739,14,0,1,0,0
740,21,1,0,0,0
741,18,0,1,0,0
742,26,1,0,0,0
743,26,1,1,0,0
744,23,1,0,0,0
745,23,1,1,0,0
746,21,1,0,0,0
748,30,1,1,0,0
749,26,1,1,0,0
750,31,1,0,0,0
751,31,1,1,0,0
752,29,1,0,0,0
753,29,1,1,0,0
754,28,1,0,0,0
755,28,1,1,0,0
756,23,1,0,0,0
757,23,1,1,0,0
758,22,1,0,0,0
759,22,1,1,0,0
760,26,1,0,0,0
761,26,1,1,0,0
762,21,1,0,0,0
764,30,1,0,0,0
765,30,1,1,0,0
766,30,1,0,0,0
767,29,1,1,0,0
768,25,1,0,0,0
769,25,1,1,0,0
770,16,0,0,0,0
771,23,1,1,0,0
772,27,1,0,0,0
773,11,0,1,0,0
774,18,0,0,0,0
775,16,0,1,0,0
776,22,1,0,0,0
777,22,1,1,0,0
778,30,1,0,1,0
780,16,0,0,1,0
781,27,1,1,1,1
782,26,1,0,1,0
783,26,1,1,1,1
784,31,1,0,0,0
785,15,0,1,0,0
786,29,1,1,0,0
787,15,0,0,0,0
788,24,1,1,0,0
789,23,1,0,0,0
790,23,1,1,0,0
791,21,1,0,0,0
792,21,1,1,0,0
793,26,1,0,0,0
795,28,1,0,1,0
797,30,1,1,0,0
798,28,1,0,1,0
799,9,0,1,1,1
800,30,1,0,0,0
801,31,1,1,0,0
802,23,1,0,0,0
803,23,1,1,0,0
804,21,1,0,0,0
805,21,1,1,0,0
806,29,1,0,0,0
807,29,1,1,0,0
808,28,1,0,0,0
809,17,0,1,0,0
810,27,1,0,0,0
811,26,1,1,0,0
813,15,0,1,0,0
814,29,1,0,1,0
815,16,0,1,1,1
816,17,0,1,1,1
817,28,1,0,0,0
818,27,1,1,0,0
819,26,1,0,0,0
820,26,1,1,0,0
821,11,0,0,0,0
822,23,1,1,0,0
823,30,1,0,0,0
824,29,1,1,0,0
825,15,0,0,0,0
826,28,1,1,0,0
827,11,0,0,0,0
829,28,1,0,0,0
830,28,1,1,0,0
831,17,0,0,0,0
832,28,1,1,0,0
833,26,1,0,0,0
834,26,1,1,0,0
835,25,1,1,0,0
836,15,0,0,0,0
837,23,1,1,0,0
838,29,1,0,0,0
839,12,0,1,0,0
840,22,1,1,0,0
841,20,1,0,0,0
842,14,0,1,0,0
843,15,0,0,0,0
845,27,1,0,0,0
846,27,1,1,0,0
847,26,1,1,0,0
848,25,1,1,0,0
849,22,1,1,0,0
850,29,1,0,0,0
851,29,1,1,0,0
852,28,1,0,0,0
853,28,1,1,0,0
854,27,1,0,0,0
855,27,1,1,0,0
856,22,1,0,1,0
857,15,0,1,1,1
858,23,1,0,0,0
859,23,1,1,0,0
861,22,1,1,0,0
862,28,1,0,0,0
863,15,0,1,0,0
864,27,1,1,0,0
865,25,1,0,0,0
866,25,1,1,0,0
867,24,1,1,0,0
868,15,0,0,0,0
869,22,1,1,0,0
870,24,1,0,0,0
871,24,1,1,0,0
872,14,0,0,1,0
873,30,1,1,0,0
874,29,1,0,0,0
875,29,1,1,0,0
877,29,1,1,0,0
878,27,1,0,0,0
879,16,0,1,0,0
880,11,0,0,1,0
881,26,1,1,0,0
882,25,1,0,1,0
883,25,1,1,0,0
884,23,1,0,0,0
885,23,1,1,0,0
886,22,1,0,0,0
887,14,0,1,0,0
888,24,1,0,0,0
889,25,1,1,0,0
890,8,0,1,0,0
891,25,1,0,0,0
893,26,1,0,1,0
894,26,1,1,1,1
895,20,1,0,1,0
896,20,1,1,1,1
898,26,1,0,0,0
899,26,1,1,0,0
900,24,1,0,0,0
901,16,0,1,0,0
902,23,1,0,0,0
903,11,0,1,0,0
904,21,1,0,0,0
905,21,1,1,0,0
906,14,0,0,0,0
907,14,0,1,0,0
908,26,1,0,1,0
910,15,0,1,1,1
911,24,1,1,1,1
912,15,0,1,1,1
913,23,1,1,1,1
914,13,0,0,1,0
915,15,0,1,1,1
916,28,1,0,1,0
917,28,1,1,1,1
918,26,1,0,1,0
919,11,0,1,1,1
920,24,1,0,1,0
921,24,1,1,1,1
922,30,1,0,1,0
923,30,1,1,1,1
924,28,1,1,0,0
926,16,0,1,0,0
927,13,0,1,0,0
928,29,1,0,0,0
929,28,1,1,0,0
930,25,1,1,0,0
931,22,1,1,0,0
932,28,1,0,0,0
933,15,0,1,0,0
934,23,1,0,0,0
935,23,1,1,0,0
936,29,1,0,0,0
938,23,1,1,0,0
939,24,1,0,0,0
940,15,0,1,0,0
941,21,1,0,0,0
943,22,1,0,0,0
944,22,1,1,0,0
945,30,1,1,0,0
946,29,1,0,0,0
947,17,0,1,0,0
948,26,1,1,0,0
949,20,1,0,0,0
950,20,1,1,0,0
951,24,1,0,0,0
952,15,0,1,0,0
953,22,1,0,0,0
954,22,1,1,0,0
955,18,0,1,0,0
956,20,1,0,0,0
957,20,1,1,0,0
959,24,1,1,0,0
960,22,1,0,0,0
961,22,1,1,0,0
962,29,1,0,1,0
963,29,1,1,1,1
964,30,1,1,1,1
965,29,1,1,1,1
966,15,0,1,1,1
967,25,1,1,1,1
968,23,1,0,1,0
969,23,1,1,1,1
970,22,1,0,1,0
971,22,1,1,1,1
972,28,1,0,0,0
973,28,1,1,0,0
975,26,1,1,0,0
976,30,1,1,0,0
977,26,1,0,0,0
978,25,1,1,0,0
979,22,1,0,1,0
980,22,1,1,1,1
981,31,1,0,1,0
982,31,1,1,1,1
983,27,1,0,0,0
984,28,1,1,0,0
985,17,0,0,1,0
986,16,0,1,0,0
987,12,0,1,0,0
988,29,1,1,0,0
989,22,1,0,0,0
991,22,1,0,0,0
992,22,1,1,0,0
993,15,0,0,1,0
994,30,1,1,1,1
995,28,1,0,1,0
996,10,0,1,1,1
997,16,0,0,0,0
998,11,0,1,0,0
999,28,1,0,0,0
1000,9,0,1,0,0
1001,31,1,0,1,0
1002,13,0,1,1,1
1003,28,1,1,1,1
1004,26,1,0,1,0
1005,27,1,1,1,1
1007,24,1,1,1,1
1008,23,1,0,1,0
1009,23,1,1,1,1
1010,30,1,0,0,0
1011,12,0,1,0,0
1012,28,1,0,0,0
1013,28,1,1,0,0
1014,24,1,0,0,0
1015,24,1,1,0,0
1016,29,1,0,1,0
1017,20,1,1,1,1
1018,24,1,0,1,0
1019,24,1,1,1,1
1020,16,0,1,1,1
1021,17,0,0,1,0
1023,29,1,0,1,0
1024,29,1,1,1,1
1025,26,1,0,1,0
1026,25,1,1,1,1
1027,25,1,0,1,0
1028,12,0,1,1,1
1029,24,1,0,1,0
1030,12,0,1,1,1
1031,22,1,0,1,0
1032,22,1,1,1,1
1033,21,1,0,1,0
1034,15,0,1,1,1
1035,19,1,0,0,0
1036,19,1,1,0,0
1037,28,1,0,1,0
1039,16,0,1,1,1
1040,30,1,0,0,0
1041,11,0,1,0,0
1042,29,1,0,1,0
1043,12,0,1,1,1
1044,28,1,0,1,0
1045,10,0,1,1,1
1046,25,1,0,1,0
1047,11,0,1,1,1
1048,22,1,0,1,0
1049,22,1,1,1,1
1050,16,0,0,1,0
1051,24,1,1,1,1
1052,15,0,0,0,0
1053,30,1,1,0,0
1055,25,1,1,0,0
1056,24,1,0,0,0
1057,24,1,1,0,0
1058,21,1,0,0,0
1059,21,1,1,0,0
1060,21,1,0,0,0
1061,21,1,1,0,0
1062,30,1,0,0,0
1063,30,1,1,0,0
1064,26,1,0,0,0
1065,16,0,1,0,0
1066,26,1,1,0,0
1067,24,1,1,0,0
1068,25,1,1,0,0
1069,19,1,0,0,0
1071,27,1,0,1,0
1072,27,1,1,1,1
1073,18,0,1,0,0
1074,28,1,0,0,0
1075,17,0,1,0,0
1076,22,1,0,0,0
1077,22,1,1,0,0
1078,23,1,1,0,0
1079,20,1,1,0,0
1080,19,1,0,0,0
1081,19,1,1,0,0
1082,16,0,1,1,1
1083,25,1,1,1,1
1084,30,1,0,0,0
1085,30,1,1,0,0
1087,27,1,1,0,0
1088,17,0,0,0,0
1089,17,0,1,0,0
1090,14,0,1,0,0
1091,25,1,0,1,0
1092,9,0,1,1,1
1093,20,1,0,1,0
1094,20,1,1,1,1
1095,19,1,0,1,0
1096,19,1,1,1,1
1097,28,1,1,0,0
1098,21,1,1,0,0
1099,17,0,1,0,0
1100,30,1,0,0,0
1101,30,1,1,0,0
1103,10,0,1,0,0
1104,25,1,0,0,0
1105,10,0,1,0,0
1106,24,1,0,0,0
1107,16,0,1,0,0
1108,22,1,0,0,0
1109,22,1,1,0,0
1110,25,1,0,0,0
1111,26,1,1,0,0
1112,29,1,0,0,0
1113,29,1,1,0,0
1114,8,0,0,0,0
1115,14,0,1,0,0
1116,23,1,0,0,0
1117,23,1,1,0,0
1119,16,0,1,0,0
1120,28,1,0,0,0
1121,27,1,1,0,0
1122,16,0,0,0,0
1123,25,1,1,0,0
1124,14,0,0,0,0
1125,22,1,1,0,0
1126,28,1,0,0,0
1127,28,1,1,0,0
1128,21,1,0,0,0
1129,21,1,1,0,0
1130,19,1,1,0,0
1131,12,0,0,1,0
1132,12,0,1,1,1
1133,28,1,0,1,0
1135,27,1,0,0,0
1136,27,1,1,0,0
1137,25,1,0,0,0
1138,25,1,1,0,0
1139,23,1,1,0,0
1140,21,1,0,0,0
1141,21,1,1,0,0
1142,19,1,0,0,0
1143,19,1,1,0,0
1144,28,1,0,0,0
1145,28,1,1,0,0
1146,26,1,0,0,0
1147,15,0,1,0,0
1148,25,1,0,0,0
1149,18,0,1,0,0
1151,18,0,1,0,0
1152,23,1,1,0,0
1153,20,1,1,0,0
1154,28,1,1,0,0
1155,27,1,0,0,0
1156,14,0,1,0,0
1157,24,1,0,0,0
1158,24,1,1,0,0
1159,21,1,1,0,0
1160,19,1,0,0,0
1161,19,1,1,0,0
1162,24,1,0,0,0
1163,24,1,1,0,0
1164,22,1,0,1,0
1165,22,1,1,1,1
1167,19,1,0,1,0
1168,19,1,1,1,1
1169,19,1,0,1,0
1170,19,1,1,1,1
1171,26,1,0,0,0
1172,26,1,1,0,0
1173,26,1,0,1,0
1174,27,1,1,1,1
1175,12,0,0,1,0
1176,25,1,1,1,1
1177,18,0,1,1,1
1178,22,1,0,1,0
1179,15,0,1,1,1
1180,23,1,0,0,0
1181,23,1,1,0,0
1183,13,0,1,1,1
1184,27,1,0,1,0
1185,13,0,1,1,1
1186,27,1,0,1,0
1187,26,1,1,1,1
1188,25,1,0,1,0
1189,16,0,1,1,1
1190,28,1,0,0,0
1191,28,1,1,0,0
1192,27,1,1,0,0
1193,22,1,0,0,0
1194,22,1,1,0,0
1195,20,1,0,0,0
1196,20,1,1,0,0
1197,28,1,0,0,0
1199,26,1,0,0,0
1200,16,0,1,0,0
1201,23,1,1,0,0
1202,18,1,0,0,0
1203,18,1,1,0,0
1204,27,1,0,0,0
1205,27,1,1,0,0
1206,28,1,0,0,0
1207,28,1,1,0,0
1208,23,1,0,0,0
1209,17,0,1,0,0
1210,31,1,0,0,0
1211,31,1,1,0,0
1212,27,1,0,0,0
1213,28,1,1,0,0
1215,23,1,1,0,0
1216,17,0,0,0,0
1217,15,0,1,0,0
1218,18,1,1,0,0
1219,29,1,0,0,0
1220,29,1,1,0,0
1221,29,1,0,0,0
1222,29,1,1,0,0
1223,11,0,0,0,0
1224,25,1,1,0,0
1225,22,1,1,0,0
1227,19,1,0,0,0
1228,9,0,1,0,0
1229,29,1,0,1,0
1230,29,1,1,1,1
1232,28,1,1,1,1
1233,28,1,0,1,0
1234,16,0,1,1,1
1235,18,1,0,0,0
