"id","lnw","exper","ged","postexp","black","hispanic","hgc","hgc.9","uerate","ue.7","ue.centert1","ue.mean","ue.person.cen","ue1"
134,2.764,10.818,1,6.904,0,0,11,2,6.195,-0.805,0.4,5.72083333333333,0.474166666666667,5.795
145,1.562,0.235,0,0,0,0,10,1,8.4,1.4,0,5.19555555555556,3.20444444444444,8.4
145,1.476,0.828,1,0.473,0,0,10,1,6.395,-0.605,-2.005,5.19555555555556,1.19944444444444,8.4
145,1.596,1.828,1,1.473,0,0,10,1,5.895,-1.105,-2.505,5.19555555555556,0.699444444444444,8.4
145,1.885,2.488,1,2.133,0,0,10,1,5.095,-1.905,-3.305,5.19555555555556,-0.100555555555556,8.4
145,2.036,3.699,1,3.344,0,0,10,1,3.595,-3.405,-4.805,5.19555555555556,-1.60055555555556,8.4
145,1.771,4.776,1,4.421,0,0,10,1,2.795,-4.205,-5.605,5.19555555555556,-2.40055555555556,8.4
145,1.878,5.641,1,5.286,0,0,10,1,3.195,-3.805,-5.205,5.19555555555556,-2.00055555555556,8.4
145,1.753,6.68,1,6.325,0,0,10,1,5.195,-1.805,-3.205,5.19555555555556,-0.000555555555555642,8.4
145,1.906,7.1,1,6.745,0,0,10,1,6.195,-0.805,-2.205,5.19555555555556,0.999444444444444,8.4
155,1.776,0.985,0,0,0,0,9,0,6.695,-0.305,0,6.87388890909091,-0.178888909090909,6.695
155,2.078,2.023,0,0,0,0,9,0,6.695,-0.305,0,6.87388890909091,-0.178888909090909,6.695
155,1.535,2.966,0,0,0,0,9,0,12.6,5.6,5.905,6.87388890909091,5.72611109090909,6.695
155,2.162,3.834,0,0,0,0,9,0,4.895,-2.105,-1.8,6.87388890909091,-1.97888890909091,6.695
155,2.32,4.563,0,0,0,0,9,0,13.6,6.6,6.905,6.87388890909091,6.72611109090909,6.695
155,1.727,5.717,0,0,0,0,9,0,6.873889,-0.126111000000000,0.178889,6.87388890909091,9.0909090921798e-08,6.695
155,2.219,7.14,0,0,0,0,9,0,6.873889,-0.126111000000000,0.178889,6.87388890909091,9.0909090921798e-08,6.695
155,2.461,7.967,0,0,0,0,9,0,2.795,-4.205,-3.9,6.87388890909091,-4.07888890909091,6.695
155,2.333,8.937,0,0,0,0,9,0,3.195,-3.805,-3.5,6.87388890909091,-3.67888890909091,6.695
155,2.612,9.707,0,0,0,0,9,0,5.195,-1.805,-1.5,6.87388890909091,-1.67888890909091,6.695
155,2.637,10.437,0,0,0,0,9,0,6.195,-0.805,-0.5,6.87388890909091,-0.678888909090909,6.695
173,1.559,0.188,0,0,0,0,9,0,5.495,-1.505,0,6.08,-0.585,5.495
173,1.693,0.8,0,0,0,0,9,0,7.9,0.9,2.405,6.08,1.82,5.495
173,1.976,2.184,0,0,0,0,9,0,8.2,1.2,2.705,6.08,2.12,5.495
173,2.027,4.454,0,0,0,0,9,0,4.195,-2.805,-1.3,6.08,-1.885,5.495
173,2.016,5.377,0,0,0,0,9,0,4.495,-2.505,-1,6.08,-1.585,5.495
173,2.335,6.396,0,0,0,0,9,0,6.195,-0.805,0.7,6.08,0.115000000000000,5.495
206,2.028,1.874,0,0,0,0,10,1,9.2,2.2,0,8.83166666666667,0.368333333333332,9.2
206,2.297,2.814,0,0,0,0,10,1,11,4,1.8,8.83166666666667,2.16833333333333,9.2
206,2.482,4.314,0,0,0,0,10,1,6.295,-0.705,-2.905,8.83166666666667,-2.53666666666667,9.2
207,1.58,0.525,0,0,0,0,8,-1,9.6,2.6,0,7.41636363636364,2.18363636363636,9.6
207,1.749,1.679,0,0,0,0,8,-1,9.2,2.2,-0.4,7.41636363636364,1.78363636363636,9.6
207,1.931,2.698,0,0,0,0,8,-1,11,4,1.4,7.41636363636364,3.58363636363636,9.6
207,1.863,3.46,0,0,0,0,8,-1,8.4,1.4,-1.2,7.41636363636364,0.983636363636364,9.6
207,2.224,4.498,0,0,0,0,8,-1,8.2,1.2,-1.4,7.41636363636364,0.783636363636363,9.6
207,2.052,5.46,0,0,0,0,8,-1,7.3,0.3,-2.3,7.41636363636364,-0.116363636363636,9.6
207,2.155,6.69,0,0,0,0,8,-1,5.395,-1.605,-4.205,7.41636363636364,-2.02136363636364,9.6
207,2.177,7.729,0,0,0,0,8,-1,4.195,-2.805,-5.405,7.41636363636364,-3.22136363636364,9.6
207,2.576,8.609,0,0,0,0,8,-1,4.495,-2.505,-5.105,7.41636363636364,-2.92136363636364,9.6
207,2.659,9.441,0,0,0,0,8,-1,6.195,-0.805,-3.405,7.41636363636364,-1.22136363636364,9.6
207,2.263,10.307,0,0,0,0,8,-1,7.6,0.6,-2,7.41636363636364,0.183636363636364,9.6
222,3.456,0.013,0,0,1,0,9,0,8,1,0,6.28285714285714,1.71714285714286,8
222,1.314,0.529,0,0,1,0,9,0,8.4,1.4,0.4,6.28285714285714,2.11714285714286,8
222,1.515,0.804,0,0,1,0,9,0,7.3,0.3,-0.7,6.28285714285714,1.01714285714286,8
222,1.635,1.161,0,0,1,0,9,0,5.395,-1.605,-2.605,6.28285714285714,-0.887857142857143,8
222,1.707,1.973,0,0,1,0,9,0,4.195,-2.805,-3.805,6.28285714285714,-2.08785714285714,8
222,1.555,2.24,0,0,1,0,9,0,4.495,-2.505,-3.505,6.28285714285714,-1.78785714285714,8
222,1.792,2.768,0,0,1,0,9,0,6.195,-0.805,-1.805,6.28285714285714,-0.0878571428571426,8
223,1.749,0.864,0,0,1,0,8,-1,9.2,2.2,0,6.18,3.02,9.2
223,1.563,1.806,0,0,1,0,8,-1,6.18,-0.82,-3.02,6.18,0,9.2
223,1.51,2.883,0,0,1,0,8,-1,6.18,-0.82,-3.02,6.18,0,9.2
223,1.765,4.076,0,0,1,0,8,-1,6.18,-0.82,-3.02,6.18,0,9.2
223,1.627,4.968,0,0,1,0,8,-1,6.18,-0.82,-3.02,6.18,0,9.2
223,2.534,5.896,0,0,1,0,8,-1,5.395,-1.605,-3.805,6.18,-0.785,9.2
223,1.83,7.146,0,0,1,0,8,-1,4.195,-2.805,-5.005,6.18,-1.985,9.2
223,2.13,8.031,0,0,1,0,8,-1,4.495,-2.505,-4.705,6.18,-1.685,9.2
223,2.14,9.031,0,0,1,0,8,-1,6.195,-0.805,-3.005,6.18,0.0150000000000006,9.2
223,2.185,9.877,0,0,1,0,8,-1,7.6,0.6,-1.6,6.18,1.42,9.2
226,1.54,0.625,0,0,0,1,8,-1,9.6,2.6,0,6.197,3.403,9.6
226,0.927,0.755,1,0.09,0,1,8,-1,7.3,0.3,-2.3,6.197,1.103,9.6
226,2.008,1.858,1,1.193,0,1,8,-1,5.395,-1.605,-4.205,6.197,-0.802,9.6
226,1.89,2.978,1,2.313,0,1,8,-1,4.195,-2.805,-5.405,6.197,-2.002,9.6
226,1.997,3.418,1,2.753,0,1,8,-1,4.495,-2.505,-5.105,6.197,-1.702,9.6
234,1.571,1.096,1,1.096,0,0,9,0,9.6,2.6,0,8.02642857142857,1.57357142857143,9.6
234,1.535,2.346,1,2.346,0,0,9,0,13.6,6.6,4,8.02642857142857,5.57357142857143,9.6
234,1.675,3.358,1,3.358,0,0,9,0,8.8,1.8,-0.799999999999999,8.02642857142857,0.77357142857143,9.6
234,1.873,4.416,1,4.416,0,0,9,0,6.395,-0.605,-3.205,8.02642857142857,-1.63142857142857,9.6
234,1.707,5.916,1,5.916,0,0,9,0,5.495,-1.505,-4.105,8.02642857142857,-2.53142857142857,9.6
234,1.558,7.416,1,7.416,0,0,9,0,4.995,-2.005,-4.605,8.02642857142857,-3.03142857142857,9.6
234,2.005,8.358,1,8.358,0,0,9,0,7.3,0.3,-2.3,8.02642857142857,-0.726428571428571,9.6
241,1.517,0.364,1,0,0,0,7,-2,12.1,5.1,0,8.62375,3.47625,12.1
241,1.381,1.46,1,1.096,0,0,7,-2,13.6,6.6,1.5,8.62375,4.97625,12.1
241,1.856,2.402,1,2.038,0,0,7,-2,10,3,-2.1,8.62375,1.37625,12.1
241,2.001,3.422,1,3.058,0,0,7,-2,8.1,1.1,-4,8.62375,-0.52375,12.1
241,2.665,4.441,1,4.077,0,0,7,-2,4.595,-2.405,-7.505,8.62375,-4.02875,12.1
241,2.2,5.537,1,5.173,0,0,7,-2,7.5,0.5,-4.6,8.62375,-1.12375,12.1
241,1.707,7.018,1,6.654,0,0,7,-2,6.195,-0.805,-5.905,8.62375,-2.42875,12.1
241,2.066,7.749,1,7.385,0,0,7,-2,6.9,-0.0999999999999996,-5.2,8.62375,-1.72375,12.1
248,1.964,0.505,0,0,0,0,8,-1,8.8,1.8,0,7.918,0.882,8.8
248,1.47,0.755,1,0.21,0,0,8,-1,13.6,6.6,4.8,7.918,5.682,8.8
248,1.449,1.15,1,0.605,0,0,8,-1,10,3,1.2,7.918,2.082,8.8
248,2.224,1.4,1,0.855,0,0,8,-1,8.1,1.1,-0.700000000000001,7.918,0.181999999999999,8.8
248,2.259,2.477,1,1.932,0,0,8,-1,8.8,1.8,0,7.918,0.882,8.8
248,2.124,3.938,1,3.393,0,0,8,-1,6.395,-0.605,-2.405,7.918,-1.523,8.8
248,1.484,5.054,1,4.509,0,0,8,-1,5.495,-1.505,-3.305,7.918,-2.423,8.8
248,1.364,5.845,1,5.3,0,0,8,-1,5.695,-1.305,-3.105,7.918,-2.223,8.8
248,2.015,6.54,1,5.995,0,0,8,-1,4.995,-2.005,-3.805,7.918,-2.923,8.8
248,1.752,7.617,1,7.072,0,0,8,-1,7.3,0.3,-1.5,7.918,-0.618,8.8
253,1.526,0.123,0,0,0,0,8,-1,6.395,-0.605,0,5.976,0.419,6.395
253,2.153,0.587,0,0,0,0,8,-1,5.495,-1.505,-0.9,5.976,-0.481,6.395
253,1.997,1.182,0,0,0,0,8,-1,5.695,-1.305,-0.700,5.976,-0.2810,6.395
253,1.946,1.829,0,0,0,0,8,-1,4.995,-2.005,-1.4,5.976,-0.981,6.395
253,1.906,2.387,0,0,0,0,8,-1,7.3,0.3,0.905,5.976,1.324,6.395
266,1.808,0.322,1,0.182,0,0,9,0,8.8,1.8,0,8.8,0,8.8
295,1.789,2.026,0,0,0,0,9,0,5.595,-1.405,0,4.915,0.68,5.595
295,1.807,3.122,0,0,0,0,9,0,4.595,-2.405,-1,4.915,-0.32,5.595
295,2.113,4.157,0,0,0,0,9,0,4.295,-2.705,-1.3,4.915,-0.62,5.595
295,2.13,5.08,0,0,0,0,9,0,3.395,-3.605,-2.2,4.915,-1.52,5.595
295,2.312,6.58,0,0,0,0,9,0,6.695,-0.305,1.1,4.915,1.78,5.595
299,1.638,0.58,0,0,0,1,7,-2,9.6,2.6,0,5.77388888888889,3.82611111111111,9.6
299,1.62,0.9,0,0,0,1,7,-2,7.2,0.2,-2.4,5.77388888888889,1.42611111111111,9.6
299,1.656,1.958,0,0,0,1,7,-2,6.195,-0.805,-3.405,5.77388888888889,0.421111111111111,9.6
299,1.738,2.996,0,0,0,1,7,-2,5.595,-1.405,-4.005,5.77388888888889,-0.178888888888889,9.6
299,1.749,4.216,0,0,0,1,7,-2,4.595,-2.405,-5.005,5.77388888888889,-1.17888888888889,9.6
299,1.545,4.336,0,0,0,1,7,-2,4.295,-2.705,-5.305,5.77388888888889,-1.47888888888889,9.6
299,1.555,4.376,0,0,0,1,7,-2,3.395,-3.605,-6.205,5.77388888888889,-2.37888888888889,9.6
299,1.792,4.716,0,0,0,1,7,-2,4.395,-2.605,-5.205,5.77388888888889,-1.37888888888889,9.6
299,1.57,5.716,0,0,0,1,7,-2,6.695,-0.305,-2.905,5.77388888888889,0.921111111111111,9.6
304,1.842,0.58,0,0,0,1,8,-1,3.395,-3.605,0,3.395,0,3.395
313,1.576,0.32,0,0,0,0,9,0,9,2,0,6.0965,2.9035,9
313,1.535,0.565,0,0,0,0,9,0,9.6,2.6,0.6,6.0965,3.5035,9
313,1.568,1.065,0,0,0,0,9,0,7.2,0.2,-1.8,6.0965,1.1035,9
313,1.819,2.065,0,0,0,0,9,0,6.195,-0.805,-2.805,6.0965,0.0985000000000005,9
313,1.929,3.219,0,0,0,0,9,0,5.595,-1.405,-3.405,6.0965,-0.5015,9
313,2.036,4.238,0,0,0,0,9,0,4.595,-2.405,-4.405,6.0965,-1.5015,9
313,2.295,5.68,0,0,0,0,9,0,4.295,-2.705,-4.705,6.0965,-1.8015,9
313,2.248,6.623,0,0,0,0,9,0,3.395,-3.605,-5.605,6.0965,-2.7015,9
313,2.526,7.603,0,0,0,0,9,0,4.395,-2.605,-4.605,6.0965,-1.7015,9
313,2.384,8.507,0,0,0,0,9,0,6.695,-0.305,-2.305,6.0965,0.5985,9
315,1.556,0.998,0,0,0,0,10,1,7.1,0.0999999999999996,0,6.221875,0.878125,7.1
315,1.913,2.132,0,0,0,0,10,1,9,2,1.9,6.221875,2.778125,7.1
315,1.052,2.882,0,0,0,0,10,1,9.6,2.6,2.5,6.221875,3.378125,7.1
315,1.596,3.786,0,0,0,0,10,1,6.195,-0.805,-0.905,6.221875,-0.0268749999999995,7.1
315,1.433,4.241,0,0,0,0,10,1,5.595,-1.405,-1.505,6.221875,-0.626875,7.1
315,1.644,4.941,0,0,0,0,10,1,4.595,-2.405,-2.505,6.221875,-1.626875,7.1
315,1.351,5.218,0,0,0,0,10,1,4.295,-2.705,-2.805,6.221875,-1.926875,7.1
315,1.66,5.298,1,0,0,0,10,1,3.395,-3.605,-3.705,6.221875,-2.826875,7.1
316,1.786,0.54,1,0.54,0,0,8,-1,9.6,2.6,0,5.77388888888889,3.82611111111111,9.6
316,2.014,1.502,1,1.502,0,0,8,-1,7.2,0.2,-2.4,5.77388888888889,1.42611111111111,9.6
316,1.462,1.786,1,1.786,0,0,8,-1,6.195,-0.805,-3.405,5.77388888888889,0.421111111111111,9.6
316,1.483,2.328,1,2.328,0,0,8,-1,5.595,-1.405,-4.005,5.77388888888889,-0.178888888888889,9.6
316,1.749,3.138,1,3.138,0,0,8,-1,4.595,-2.405,-5.005,5.77388888888889,-1.17888888888889,9.6
316,2.256,4.523,1,4.523,0,0,8,-1,4.295,-2.705,-5.305,5.77388888888889,-1.47888888888889,9.6
316,2.275,5.427,1,5.427,0,0,8,-1,3.395,-3.605,-6.205,5.77388888888889,-2.37888888888889,9.6
316,2.158,6.446,1,6.446,0,0,8,-1,4.395,-2.605,-5.205,5.77388888888889,-1.37888888888889,9.6
316,2.263,7.407,1,7.407,0,0,8,-1,6.695,-0.305,-2.905,5.77388888888889,0.921111111111111,9.6
324,1.491,1.491,0,0,0,0,9,0,9.6,2.6,0,5.616,3.984,9.6
324,2.224,1.803,0,0,0,0,9,0,6.195,-0.805,-3.405,5.616,0.579000000000001,9.6
324,2.036,2.32,0,0,0,0,9,0,4.595,-2.405,-5.005,5.616,-1.021,9.6
324,2.496,2.765,0,0,0,0,9,0,4.295,-2.705,-5.305,5.616,-1.321,9.6
324,2.536,3.945,0,0,0,0,9,0,3.395,-3.605,-6.205,5.616,-2.221,9.6
329,1.422,0.016,0,0,0,1,8,-1,9,2,0,6.93,2.07,9
329,1.308,0.716,0,0,0,1,8,-1,6.195,-0.805,-2.805,6.93,-0.735,9
329,1.885,1.756,0,0,0,1,8,-1,5.595,-1.405,-3.405,6.93,-1.335,9
331,1.559,0.105,0,0,0,1,9,0,6.795,-0.205,0,7.297,-0.502,6.795
331,0.83,1.095,0,0,0,1,9,0,9,2,2.205,7.297,1.703,6.795
331,1.804,1.725,0,0,0,1,9,0,9.6,2.6,2.805,7.297,2.303,6.795
331,1.872,4.436,0,0,0,1,9,0,4.395,-2.605,-2.4,7.297,-2.902,6.795
331,1.499,4.461,0,0,0,1,9,0,6.695,-0.305,-0.0999999999999996,7.297,-0.602,6.795
332,1.63,0.125,0,0,0,1,8,-1,7.1,0.0999999999999996,0,5.9065,1.1935,7.1
332,1.476,1.625,0,0,0,1,8,-1,9.6,2.6,2.5,5.9065,3.6935,7.1
332,1.804,2.413,0,0,0,1,8,-1,7.2,0.2,0.100000000000001,5.9065,1.2935,7.1
332,1.439,3.393,0,0,0,1,8,-1,6.195,-0.805,-0.905,5.9065,0.2885,7.1
332,1.748,4.47,0,0,0,1,8,-1,5.595,-1.405,-1.505,5.9065,-0.311500000000001,7.1
332,1.526,5.178,0,0,0,1,8,-1,4.595,-2.405,-2.505,5.9065,-1.3115,7.1
332,2.044,6.082,0,0,0,1,8,-1,4.295,-2.705,-2.805,5.9065,-1.6115,7.1
332,2.179,7.043,0,0,0,1,8,-1,3.395,-3.605,-3.705,5.9065,-2.5115,7.1
332,2.186,8.197,0,0,0,1,8,-1,4.395,-2.605,-2.705,5.9065,-1.5115,7.1
332,4.035,9.092,0,0,0,1,8,-1,6.695,-0.305,-0.404999999999999,5.9065,0.7885,7.1
336,1.892,1.91,1,0.46,1,0,8,-1,9.6,2.6,0,7.665,1.935,9.6
336,1.279,2.514,1,1.064,1,0,8,-1,7.2,0.2,-2.4,7.665,-0.465,9.6
336,2.224,3.706,1,2.256,1,0,8,-1,6.195,-0.805,-3.405,7.665,-1.47,9.6
356,1.553,0.966,0,0,0,0,10,1,8.8,1.8,0,6.0165,2.7835,8.8
356,1.491,1.896,0,0,0,0,10,1,8.5,1.5,-0.300000000000001,6.0165,2.4835,8.8
356,2.261,2.461,0,0,0,0,10,1,7.3,0.3,-1.5,6.0165,1.2835,8.8
356,1.558,3.399,0,0,0,0,10,1,6.595,-0.405,-2.205,6.0165,0.5785,8.8
356,1.789,4.418,0,0,0,0,10,1,5.095,-1.905,-3.705,6.0165,-0.9215,8.8
356,2.219,5.571,0,0,0,0,10,1,4.395,-2.605,-4.405,6.0165,-1.6215,8.8
356,2.444,6.802,0,0,0,0,10,1,4.395,-2.605,-4.405,6.0165,-1.6215,8.8
356,2.692,7.744,0,0,0,0,10,1,3.295,-3.705,-5.505,6.0165,-2.7215,8.8
356,2.734,8.705,0,0,0,0,10,1,5.295,-1.705,-3.505,6.0165,-0.7215,8.8
356,2.742,9.705,0,0,0,0,10,1,6.495,-0.505,-2.305,6.0165,0.4785,8.8
378,1.828,1.3,0,0,1,0,10,1,8.8,1.8,0,5.81888888888889,2.98111111111111,8.8
378,1.513,2.178,0,0,1,0,10,1,7.3,0.3,-1.5,5.81888888888889,1.48111111111111,8.8
378,2.155,3.021,0,0,1,0,10,1,6.595,-0.405,-2.205,5.81888888888889,0.776111111111111,8.8
378,2.052,4.078,0,0,1,0,10,1,5.095,-1.905,-3.705,5.81888888888889,-0.723888888888889,8.8
378,1.889,5.001,0,0,1,0,10,1,4.395,-2.605,-4.405,5.81888888888889,-1.42388888888889,8.8
378,2.238,6.381,0,0,1,0,10,1,4.395,-2.605,-4.405,5.81888888888889,-1.42388888888889,8.8
378,2.302,7.4,0,0,1,0,10,1,3.295,-3.705,-5.505,5.81888888888889,-2.52388888888889,8.8
378,2.251,8.419,0,0,1,0,10,1,5.295,-1.705,-3.505,5.81888888888889,-0.523888888888889,8.8
378,2.263,9.284,0,0,1,0,10,1,7.2,0.2,-1.6,5.81888888888889,1.38111111111111,8.8
394,2.383,1.89,0,0,1,0,10,1,5.695,-1.305,0,5.46166666666667,0.233333333333333,5.695
394,1.929,2.77,0,0,1,0,10,1,6.595,-0.405,0.9,5.46166666666667,1.13333333333333,5.695
394,1.609,3.01,0,0,1,0,10,1,4.095,-2.905,-1.6,5.46166666666667,-1.36666666666667,5.695
396,1.066,0.165,1,0,1,0,9,0,10.2,3.2,0,5.63857142857143,4.56142857142857,10.2
396,2.417,2.88,1,2.715,1,0,9,0,6.595,-0.405,-3.605,5.63857142857143,0.95642857142857,10.2
396,1.972,3.976,1,3.811,1,0,9,0,5.095,-1.905,-5.105,5.63857142857143,-0.543571428571429,10.2
396,1.545,5.437,1,5.272,1,0,9,0,4.095,-2.905,-6.105,5.63857142857143,-1.54357142857143,10.2
396,1.883,6.457,1,6.292,1,0,9,0,4.195,-2.805,-6.005,5.63857142857143,-1.44357142857143,10.2
396,2.166,7.602,1,7.437,1,0,9,0,4.095,-2.905,-6.105,5.63857142857143,-1.54357142857143,10.2
396,1.906,8.313,1,8.148,1,0,9,0,5.195,-1.805,-5.005,5.63857142857143,-0.443571428571429,10.2
411,1.903,0.962,0,0,0,0,8,-1,9.7,2.7,0,7.46,2.24,9.7
411,1.982,1.642,0,0,0,0,8,-1,10.2,3.2,0.5,7.46,2.74,9.7
411,2.362,2.564,1,0,0,0,8,-1,10.2,3.2,0.5,7.46,2.74,9.7
411,2.192,3.564,1,1,0,0,8,-1,7.3,0.3,-2.4,7.46,-0.16,9.7
411,2.512,4.603,1,2.038,0,0,8,-1,5.695,-1.305,-4.005,7.46,-1.765,9.7
411,2.554,5.564,1,3,0,0,8,-1,6.595,-0.405,-3.105,7.46,-0.865,9.7
411,2.295,7.279,1,4.715,0,0,8,-1,4.095,-2.905,-5.605,7.46,-3.365,9.7
411,1.906,9.241,1,6.677,0,0,8,-1,5.895,-1.105,-3.805,7.46,-1.565,9.7
415,1.621,0.243,0,0,0,0,10,1,5.595,-1.405,0,5.98727272727273,-0.392272727272728,5.595
415,1.598,0.826,0,0,0,0,10,1,5.895,-1.105,0.3,5.98727272727273,-0.0922727272727277,5.595
415,1.763,1.566,0,0,0,0,10,1,6.195,-0.805,0.6,5.98727272727273,0.207727272727273,5.595
415,1.645,2.546,0,0,0,0,10,1,7.2,0.2,1.605,5.98727272727273,1.21272727272727,5.595
415,1.919,4.585,0,0,0,0,10,1,7.3,0.3,1.705,5.98727272727273,1.31272727272727,5.595
415,2.042,5.462,0,0,0,0,10,1,5.695,-1.305,0.100000000000001,5.98727272727273,-0.292272727272727,5.595
415,1.972,6.385,0,0,0,0,10,1,6.595,-0.405,1,5.98727272727273,0.607727272727272,5.595
415,2.086,7.385,0,0,0,0,10,1,6.9,-0.0999999999999996,1.305,5.98727272727273,0.912727272727273,5.595
415,2.295,8.885,0,0,0,0,10,1,5.195,-1.805,-0.399999999999999,5.98727272727273,-0.792272727272727,5.595
415,2.816,10.385,0,0,0,0,10,1,4.095,-2.905,-1.5,5.98727272727273,-1.89227272727273,5.595
415,2.263,11.385,0,0,0,0,10,1,5.195,-1.805,-0.399999999999999,5.98727272727273,-0.792272727272727,5.595
419,1.604,0.457,1,0,0,0,9,0,10,3,0,5.684375,4.315625,10
419,1.669,1.097,1,0.64,0,0,9,0,7.3,0.3,-2.7,5.684375,1.615625,10
419,2.001,2.145,1,1.688,0,0,9,0,3.895,-3.105,-6.105,5.684375,-1.789375,10
419,1.996,2.895,1,2.438,0,0,9,0,5.684375,-1.315625,-4.315625,5.684375,0,10
419,2.012,4.375,1,3.918,0,0,9,0,4.095,-2.905,-5.905,5.684375,-1.589375,10
419,2.295,5.298,1,4.841,0,0,9,0,3.995,-3.005,-6.005,5.684375,-1.689375,10
