"id","name","time","censor","dem"
111,"Lofgren, Zoe",2,1,1
112,"Pelosi, Nancy",6,1,1
113,"Roybal-Allard, Lucille",3,1,1
114,"Seastrand, Andrea H.",1,0,0
115,"Waters, Maxine",4,1,1
116,"Woolsey, Lynn",3,1,1
117,"Schroeder, Patricia",8,1,1
118,"DeLauro, Rosa",4,1,1
119,"Johnson, Nancy L.",8,1,0
120,"Kennelly, Barbara",8,1,1
121,"Norton, Eleanor Holmes",4,1,1
122,"Brown, Corrine",3,1,1
123,"Fowler, Tillie K.",3,1,0
124,"Meek, Carrie",3,1,1
125,"Ros-Lehtinen, Ileana",5,1,0
126,"Thurman, Karen",3,1,1
127,"McKinney, Cynthia",3,1,1
128,"Mink, Patsy",6,0,1
129,"Chenoweth, Helen",2,1,0
130,"Collins, Cardiss",8,1,1
131,"Meyers, Jan",6,0,0
132,"Morella, Constance",6,1,0
133,"Collins, Barbara-Rose",3,0,1
134,"Rivers, Lynn",2,1,1
135,"Danner, Pat",3,1,1
136,"McCarthy, Karen",2,1,1
137,"Vucanovich, Barbara F.",7,0,0
138,"Roukema, Marge",8,1,0
139,"Kelly, Sue",2,1,0
140,"Lowey, Nita",5,1,1
141,"Maloney, Carolyn",3,1,1
142,"Molinari, Susan",5,1,0
143,"Slaughter, Louise",6,1,1
144,"Velazquez, Nydia",3,1,1
145,"Clayton, Eva",4,1,1
146,"Myrick, Sue",2,1,0
147,"Kaptur, Marcy",8,1,1
148,"Pryce, Deborah",3,1,0
149,"Furse, Elizabeth",3,1,1
150,"Johnson, Eddie Bernice",3,1,1
151,"Lee, Sheila Jackson",1,0,1
152,"Waldholtz, Enid",1,0,0
153,"Dunn, Jennifer",3,1,0
154,"Smith, Linda",2,1,0
155,"Cubin, Barbara",2,1,0
156,"McCarthy, Carolyn",1,1,1
157,"Hooley, Darlene",1,1,1
158,"Granger, Kay",1,1,0
159,"McKenna, Dolly",1,1,0
160,"Tauscher, Ellen",1,1,1
161,"Millender-McD, Juanita",1,1,1
162,"Sanchez, Loretta",1,1,1
163,"De Gette, Diana",1,1,1
164,"Carson, Julia",1,1,1
165,"Northrop, Anne",1,1,0
166,"Stabeno, Deborah",1,1,1
167,"Kirkpatrick, Carolyn",1,1,1
168,"Emerson, Jo Ann",1,1,0
